"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 14, 2019","6,155.60","6,173.56","6,192.42","6,142.10","-","0.10%"
"Mar 13, 2019","6,149.31","6,080.04","6,157.86","6,062.34","-","1.20%"
"Mar 12, 2019","6,076.60","6,032.14","6,088.80","6,028.67","-","1.37%"
"Mar 11, 2019","5,994.29","5,946.13","6,000.99","5,939.94","-","1.00%"
"Mar 08, 2019","5,935.12","5,932.97","5,941.93","5,909.69","-","0.07%"
"Mar 07, 2019","5,931.00","5,941.28","5,949.96","5,902.51","-","0.11%"
"Mar 06, 2019","5,924.57","5,900.71","5,934.18","5,895.42","-","0.66%"
"Mar 05, 2019","5,885.73","5,789.04","5,888.20","5,753.70","-","1.92%"
"Mar 01, 2019","5,774.88","5,731.67","5,782.86","5,731.67","-","1.10%"
"Feb 28, 2019","5,711.84","5,716.12","5,733.72","5,704.71","-","0.09%"
"Feb 27, 2019","5,706.78","5,753.65","5,790.36","5,681.95","-","-0.40%"
"Feb 26, 2019","5,729.48","5,749.21","5,762.90","5,686.08","-","-0.95%"
"Feb 25, 2019","5,784.56","5,759.41","5,790.04","5,747.80","-","0.79%"
"Feb 22, 2019","5,739.16","5,755.60","5,762.55","5,736.35","-","-0.31%"
"Feb 21, 2019","5,756.80","5,723.31","5,765.21","5,714.85","-","0.86%"
"Feb 20, 2019","5,707.70","5,676.10","5,712.49","5,664.22","-","1.12%"
"Feb 19, 2019","5,644.72","5,653.67","5,711.82","5,634.25","-","-0.03%"
"Feb 18, 2019","5,646.22","5,674.20","5,693.57","5,641.99","-","-0.61%"
"Feb 15, 2019","5,680.67","5,743.53","5,747.52","5,647.47","-","-0.88%"
"Feb 14, 2019","5,731.26","5,725.99","5,745.74","5,698.53","-","0.31%"
"Feb 13, 2019","5,713.36","5,734.70","5,753.96","5,704.64","-","-0.19%"
"Feb 12, 2019","5,724.08","5,771.34","5,794.34","5,716.30","-","-0.84%"
"Feb 11, 2019","5,772.75","5,810.96","5,810.96","5,762.77","-","-0.54%"
"Feb 08, 2019","5,804.16","5,836.86","5,849.44","5,793.86","-","-0.84%"
"Feb 07, 2019","5,853.24","5,853.87","5,891.03","5,837.57","-","0.14%"
"Feb 06, 2019","5,845.08","5,817.93","5,849.88","5,816.01","-","0.62%"
"Feb 05, 2019","5,808.82","5,804.21","5,826.61","5,788.89","-","0.12%"
"Feb 04, 2019","5,801.97","5,801.32","5,808.43","5,740.57","-","-0.01%"
"Feb 01, 2019","5,802.55","5,818.67","5,881.04","5,766.45","-","-0.06%"
"Jan 31, 2019","5,806.28","5,758.55","5,811.82","5,719.01","-","1.38%"
"Jan 30, 2019","5,727.30","5,759.44","5,762.01","5,702.16","-","0.36%"
"Jan 29, 2019","5,706.88","5,725.33","5,742.55","5,668.25","-","-0.24%"
"Jan 28, 2019","5,720.50","5,833.54","5,839.05","5,702.82","-","-2.01%"
"Jan 25, 2019","5,837.57","5,884.42","5,914.92","5,825.69","-","-0.60%"
"Jan 24, 2019","5,872.77","5,867.10","5,886.70","5,843.25","-","0.05%"
"Jan 23, 2019","5,869.70","5,923.67","5,932.63","5,857.20","-","-0.81%"
"Jan 22, 2019","5,917.71","5,960.71","5,960.76","5,896.49","-","-0.41%"
"Jan 21, 2019","5,942.25","5,955.96","5,965.77","5,921.01","-","-0.02%"
"Jan 18, 2019","5,943.20","5,958.90","5,976.34","5,934.57","-","-0.30%"
"Jan 17, 2019","5,961.22","5,960.11","5,977.03","5,922.69","-","0.15%"
"Jan 16, 2019","5,952.00","5,952.05","5,978.94","5,945.08","-","0.04%"
"Jan 15, 2019","5,949.73","5,915.37","5,953.81","5,914.99","-","0.76%"
"Jan 14, 2019","5,904.71","5,953.33","5,953.93","5,885.50","-","-0.78%"
"Jan 11, 2019","5,951.24","5,971.09","5,983.36","5,929.25","-","-0.15%"
"Jan 10, 2019","5,960.25","5,990.86","5,992.45","5,952.44","-","-0.44%"
"Jan 09, 2019","5,986.68","5,965.05","5,994.05","5,924.47","-","0.63%"
"Jan 08, 2019","5,949.35","5,940.92","5,957.28","5,892.49","-","0.48%"
"Jan 07, 2019","5,920.90","5,956.44","5,969.22","5,915.80","-","0.02%"
"Jan 04, 2019","5,919.80","5,868.79","5,926.33","5,858.70","-","0.97%"
"Jan 03, 2019","5,862.89","5,934.29","5,936.07","5,855.61","-","-1.00%"
"Jan 02, 2019","5,921.85","5,975.81","5,984.84","5,904.03","-","-1.01%"
"Jan 01, 2019","5,982.16","5,936.60","5,990.30","5,901.82","-","0.90%"
"Dec 31, 2018","5,928.97","5,952.02","5,963.61","5,918.55","-","0.10%"
"Dec 28, 2018","5,923.26","5,882.96","5,937.89","5,882.96","-","1.13%"
"Dec 27, 2018","5,857.30","5,909.21","5,916.24","5,849.87","-","0.00%"
"Dec 26, 2018","5,857.07","5,804.75","5,871.02","5,725.25","-","0.88%"
"Dec 24, 2018","5,806.11","5,865.67","5,869.46","5,799.30","-","-0.87%"
"Dec 21, 2018","5,857.14","5,946.04","5,959.38","5,838.44","-","-1.37%"
"Dec 20, 2018","5,938.65","5,923.29","5,946.51","5,888.96","-","0.02%"
"Dec 19, 2018","5,937.61","5,897.10","5,946.86","5,892.93","-","1.02%"
"Dec 18, 2018","5,877.59","5,839.43","5,882.20","5,811.60","-","0.52%"
"Dec 17, 2018","5,846.91","5,815.22","5,852.13","5,809.55","-","0.98%"
"Dec 14, 2018","5,790.30","5,808.93","5,820.92","5,774.39","-","-0.17%"
"Dec 13, 2018","5,800.24","5,798.94","5,839.79","5,780.07","-","0.68%"
"Dec 12, 2018","5,760.95","5,668.07","5,768.93","5,659.11","-","2.06%"
"Dec 11, 2018","5,644.78","5,541.85","5,654.55","5,516.90","-","0.48%"
"Dec 10, 2018","5,617.60","5,643.80","5,666.70","5,612.04","-","-2.09%"
"Dec 07, 2018","5,737.26","5,694.50","5,749.04","5,686.04","-","1.06%"
"Dec 06, 2018","5,676.81","5,725.38","5,731.13","5,669.54","-","-1.49%"
"Dec 05, 2018","5,762.79","5,773.36","5,777.47","5,741.39","-","-0.51%"
"Dec 04, 2018","5,792.60","5,826.05","5,827.63","5,777.26","-","-0.53%"
"Dec 03, 2018","5,823.64","5,845.59","5,859.05","5,800.37","-","0.27%"
"Nov 30, 2018","5,807.71","5,835.20","5,840.36","5,791.50","-","-0.04%"
"Nov 29, 2018","5,810.05","5,745.80","5,819.95","5,745.80","-","1.66%"
"Nov 28, 2018","5,715.12","5,722.18","5,742.87","5,707.46","-","0.05%"
"Nov 27, 2018","5,712.04","5,686.35","5,722.70","5,675.66","-","0.45%"
"Nov 26, 2018","5,686.45","5,656.84","5,696.65","5,629.61","-","0.90%"
"Nov 22, 2018","5,635.83","5,687.19","5,705.72","5,627.04","-","-0.83%"
"Nov 21, 2018","5,683.25","5,668.14","5,698.19","5,645.56","-","0.39%"
"Nov 20, 2018","5,661.14","5,695.95","5,697.32","5,649.15","-","-0.78%"
"Nov 19, 2018","5,705.82","5,717.08","5,721.50","5,686.71","-","0.27%"
"Nov 16, 2018","5,690.54","5,686.06","5,707.69","5,665.14","-","0.37%"
"Nov 15, 2018","5,669.80","5,629.84","5,677.62","5,600.72","-","0.80%"
"Nov 14, 2018","5,624.84","5,618.03","5,649.09","5,599.60","-","0.67%"
"Nov 13, 2018","5,587.48","5,544.25","5,593.15","5,501.43","-","0.81%"
"Nov 12, 2018","5,542.63","5,621.18","5,636.44","5,532.36","-","-1.11%"
"Nov 09, 2018","5,604.67","5,594.70","5,613.04","5,545.10","-","0.35%"
"Nov 07, 2018","5,585.16","5,597.32","5,597.43","5,579.15","-","0.57%"
"Nov 06, 2018","5,553.53","5,584.77","5,599.47","5,542.81","-","-0.23%"
"Nov 05, 2018","5,566.40","5,594.61","5,596.37","5,534.32","-","-0.27%"
"Nov 02, 2018","5,581.57","5,551.18","5,623.78","5,532.17","-","1.67%"
"Nov 01, 2018","5,490.15","5,471.28","5,521.74","5,453.69","-","0.75%"
"Oct 31, 2018","5,449.05","5,335.25","5,455.56","5,293.61","-","2.23%"
"Oct 30, 2018","5,330.06","5,365.79","5,394.56","5,307.41","-","-0.40%"
"Oct 29, 2018","5,351.57","5,287.51","5,363.47","5,231.65","-","2.03%"
"Oct 26, 2018","5,245.08","5,306.35","5,307.49","5,233.54","-","-1.02%"
"Oct 25, 2018","5,299.29","5,329.72","5,335.43","5,281.79","-","-1.33%"
"Oct 24, 2018","5,370.49","5,352.63","5,380.35","5,307.27","-","1.44%"
"Oct 23, 2018","5,294.18","5,264.75","5,330.91","5,252.22","-","-0.01%"
"Oct 22, 2018","5,294.89","5,382.62","5,394.97","5,284.59","-","-0.29%"
"Oct 19, 2018","5,310.55","5,387.13","5,419.40","5,289.81","-","-1.59%"
"Oct 17, 2018","5,396.20","5,577.50","5,587.68","5,382.79","-","-2.22%"
"Oct 16, 2018","5,518.85","5,486.87","5,547.89","5,466.28","-","0.91%"
"Oct 15, 2018","5,469.02","5,502.94","5,507.28","5,423.60","-","0.12%"
