ip1,ip2,output
27.46,8.97,126.31
27.45,8.87,113.28
26.72,9.11,100.68
25.09,9.95,106.46
21.56,16.06,95.71
18.20,25.97,89.44
17.39,20.05,88.81
17.13,23.37,91.37
16.78,21.78,70.97
15.91,26.92,76.07
15.39,24.82,71.83
14.37,27.28,72.00
13.41,27.90,79.21
12.80,29.83,75.12
12.23,31.47,72.26
11.76,32.81,83.41
11.31,34.12,81.80
10.92,35.57,82.61
10.88,36.53,86.61
14.29,30.52,41.70
17.98,24.44,57.47
23.22,14.57,81.03
27.01,9.38,71.39
28.89,8.86,60.33
29.75,8.85,61.51
29.79,9.11,46.69
28.85,9.93,47.86
27.10,11.26,54.52
23.67,20.68,59.97
20.72,22.23,55.86
19.63,26.84,87.40
18.89,23.43,96.64
18.44,28.24,73.69
17.86,24.29,76.85
17.42,28.74,70.13
16.91,25.21,75.36
16.38,29.96,76.15
16.06,26.48,75.29
15.24,28.22,75.39
14.69,25.88,87.24
14.21,27.26,87.00
13.66,28.58,96.32
13.17,29.49,84.37
16.21,25.52,56.78
19.66,19.39,78.87
24.72,12.81,93.48
27.37,11.57,140.22
28.85,11.94,144.54
29.60,13.09,140.22
29.60,14.50,121.83
28.94,15.93,120.94
27.45,18.07,146.42
24.49,24.89,138.99
21.46,25.77,104.76
20.80,25.85,72.50
19.94,26.10,95.82
18.99,26.85,85.40
18.34,27.42,81.80
17.75,28.02,82.60
16.83,29.46,79.17
15.93,30.91,80.15
15.20,32.13,80.30
14.51,33.40,80.72
13.88,34.85,87.85
13.29,36.17,85.41
12.56,37.81,86.02
12.18,38.62,81.81
15.03,31.84,75.29
18.53,25.37,96.52
23.56,18.10,101.99
26.66,14.82,149.72
28.09,13.67,144.43
28.76,13.07,130.98
28.71,12.87,137.19
27.92,12.96,122.12
26.38,13.57,137.02
23.65,15.61,129.30
20.13,19.42,101.65
19.01,20.08,78.42
18.07,20.67,87.85
17.29,21.32,89.58
16.52,22.18,85.79
15.80,23.13,67.20
15.08,24.46,67.37
14.36,26.08,68.62
13.61,28.30,78.52
12.86,30.81,83.78
12.19,33.12,86.83
11.61,34.94,83.58
11.13,36.30,84.80
11.14,36.03,65.76
14.39,28.73,48.73
17.49,23.37,92.85
22.76,16.47,109.03
25.44,13.79,131.72
26.69,12.69,130.93
27.27,12.32,141.97
27.18,12.57,135.93
26.45,13.32,125.10
24.62,15.03,150.22
22.86,16.87,124.20
20.43,19.75,97.44
19.50,20.70,79.83
18.62,21.60,97.33
17.71,22.65,82.81
17.07,23.30,81.21
16.12,24.40,72.35
15.24,25.62,73.56
14.62,26.45,81.77
14.06,27.29,79.50
13.47,28.25,87.45
12.93,29.14,87.86
12.48,30.00,85.60
12.06,30.78,85.82
12.15,30.58,80.83
15.75,24.43,52.05
19.50,19.28,81.62
23.45,17.19,110.92
25.87,16.64,131.32
27.46,16.12,126.26
28.35,16.02,137.30
28.60,16.52,148.21
27.77,17.88,115.64
26.55,19.65,124.47
24.42,22.82,129.87
21.93,26.94,104.85
21.22,28.60,118.88
20.64,30.15,113.95
19.92,32.08,88.63
19.16,34.15,90.05
18.95,34.77,84.81
18.84,34.95,74.40
18.40,36.97,77.48
17.53,42.58,79.26
16.88,48.33,91.36
16.37,52.65,90.74
16.04,55.78,88.67
15.49,59.01,88.63
14.73,62.53,84.78
16.52,58.97,54.60
19.67,49.24,72.80
23.75,36.17,119.47
26.81,28.06,121.82
28.48,24.24,125.92
29.15,22.06,126.51
29.07,20.58,119.45
28.17,20.08,111.19
26.38,20.84,118.52
23.88,23.06,111.73
20.53,27.43,94.58
19.03,29.14,91.67
17.98,30.25,92.08
17.05,31.27,92.18
16.19,32.28,94.21
15.45,33.13,23.81
14.78,33.78,74.23
14.03,34.50,75.79
13.20,35.32,76.93
12.21,36.68,79.26
11.15,38.47,79.81
10.19,40.31,92.73
9.43,41.90,94.56
9.21,42.07,86.98
11.60,35.43,49.09
15.81,26.56,88.12
21.17,19.19,108.09
24.08,16.19,137.21
25.61,13.70,125.67
26.21,12.43,149.63
26.07,11.92,133.53
25.34,11.85,118.27
23.86,12.50,116.48
21.19,14.90,111.73
17.63,20.68,81.62
16.57,19.74,90.27
15.71,20.29,92.18
14.94,20.27,76.25
14.22,20.59,74.65
13.53,20.66,73.28
12.85,20.63,72.08
12.11,20.82,79.39
11.37,21.37,79.36
10.58,22.29,80.06
9.81,23.28,91.76
9.13,24.21,93.78
8.46,25.18,87.65
8.31,25.25,86.77
11.35,20.44,49.33
15.21,15.75,56.19
20.23,11.04,52.17
22.80,9.21,52.97
24.09,8.36,55.78
24.62,7.77,55.32
24.52,7.19,48.84
23.77,6.73,57.08
22.32,6.57,59.09
19.70,7.25,57.74
15.58,10.23,51.25
14.17,11.22,42.40
13.15,11.74,73.39
12.31,11.61,73.57
11.56,11.55,66.92
10.84,11.65,68.13
10.16,11.90,67.37
9.48,12.33,74.33
8.81,12.81,74.08
8.17,13.41,77.66
7.57,13.87,94.00
7.05,14.35,91.76
6.58,14.30,92.52
6.69,15.97,87.42
10.83,11.09,54.60
14.85,7.19,86.68
19.97,5.14,113.97
22.87,4.06,126.51
24.24,3.54,143.37
24.89,3.24,125.06
24.83,3.12,122.13
24.10,3.12,118.00
22.57,3.34,132.75
19.58,5.19,118.81
16.65,8.97,103.41
15.85,9.13,100.68
15.13,8.96,96.51
14.46,8.50,73.98
13.83,9.09,74.76
13.31,9.25,73.73
12.71,9.59,74.51
12.14,9.86,84.19
11.37,10.32,80.76
10.29,10.88,88.88
9.48,11.60,75.57
8.91,11.94,91.14
8.43,12.60,88.25
8.58,11.80,73.34
12.64,11.00,39.24
16.54,6.03,82.58
20.90,5.76,94.30
22.85,5.65,132.15
24.08,5.45,147.14
24.68,5.42,144.07
24.68,5.66,127.20
24.09,6.09,120.65
22.71,6.84,130.61
19.93,8.61,119.17
16.01,12.64,117.39
14.89,13.27,92.71
14.02,13.59,84.13
13.22,14.01,77.82
12.48,14.44,77.96
11.73,15.02,73.65
10.96,15.61,77.30
10.19,16.18,79.87
9.45,16.77,73.38
8.76,17.44,75.12
8.17,18.20,73.04
7.72,18.89,71.72
7.36,19.51,78.70
7.64,19.31,73.10
11.58,15.07,37.98
15.34,11.93,100.00
20.07,8.74,127.53
22.45,7.46,131.72
23.77,6.75,142.19
24.46,6.26,147.73
24.50,6.07,127.52
23.96,6.16,118.88
22.73,6.55,122.09
19.99,7.90,118.31
15.85,11.36,91.37
14.65,12.34,89.31
13.77,12.96,77.32
12.97,13.54,70.04
12.20,13.79,71.06
11.49,15.14,69.17
10.80,14.61,70.97
10.13,15.27,71.82
9.48,15.31,72.35
8.84,15.75,87.24
8.26,16.30,89.07
7.77,16.76,88.06
7.37,17.11,90.26
7.73,16.57,92.78
12.20,15.81,38.35
16.46,9.59,84.55
21.66,6.52,95.35
25.02,5.15,127.05
26.68,5.09,123.58
27.26,6.23,135.13
27.48,7.43,134.64
26.51,8.84,119.76
25.09,10.47,140.33
22.80,13.26,111.46
20.28,16.83,89.74
19.22,19.53,87.19
18.38,22.35,88.95
17.82,24.38,73.03
17.29,25.63,71.58
16.79,26.59,72.52
16.33,27.75,68.78
15.83,29.29,69.22
15.43,31.16,70.60
14.95,33.31,88.27
14.40,36.12,89.09
13.78,40.25,90.34
13.27,45.75,92.99
12.84,51.82,97.07
12.99,58.60,67.40
13.32,66.21,84.55
14.52,67.62,95.35
15.82,58.67,127.05
16.92,52.59,123.58
18.21,47.34,135.13
19.52,42.93,110.65
20.34,40.01,106.65
20.08,39.85,117.73
19.12,41.89,119.48
17.58,46.85,106.59
16.41,51.51,99.32
15.32,55.92,98.39
14.46,59.89,79.21
13.63,64.40,78.33
12.83,69.76,78.15
12.07,75.81,82.58
11.41,81.74,82.17
10.79,87.28,95.06
10.15,92.87,92.16
9.53,98.07,93.86
9.03,100.00,94.04
8.61,100.00,95.62
9.38,100.00,88.59
11.42,86.92,45.87
14.31,72.31,90.93
19.09,50.69,116.51
21.47,42.44,72.04
23.30,35.77,131.97
24.41,30.83,129.07
24.90,28.00,129.59
24.59,27.19,100.15
23.33,28.57,109.20
21.11,32.17,82.41
17.70,40.61,70.30
16.63,43.99,66.24
15.79,47.63,87.93
15.00,51.38,74.65
14.26,54.96,73.03
13.53,58.67,72.35
12.81,62.63,73.91
12.09,66.81,74.86
11.42,70.72,71.31
10.78,74.39,75.04
10.11,77.88,79.26
9.56,80.71,84.37
9.08,83.26,78.94
9.38,81.53,76.75
13.07,63.68,39.70
17.19,46.02,50.40
21.01,26.37,63.84
22.87,20.60,62.23
