"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 02, 2019","22,567.42","22,458.37","22,647.43","22,185.49","360.68M","0.79%"
"Aug 01, 2019","22,390.22","22,363.15","22,494.20","22,224.55","888.37M","0.21%"
"Jul 31, 2019","22,342.30","22,636.61","22,636.61","22,028.41","335.61M","-0.53%"
"Jul 30, 2019","22,461.56","22,734.10","22,764.51","22,410.37","416.92M","-0.67%"
"Jul 29, 2019","22,612.54","22,974.26","22,983.85","22,481.56","196.32M","-1.44%"
"Jul 26, 2019","22,942.94","22,786.19","23,003.95","22,682.09","587.54M","0.54%"
"Jul 25, 2019","22,819.09","22,848.03","22,920.53","22,748.43","215.89M","0.34%"
"Jul 24, 2019","22,742.32","23,101.97","23,120.07","22,699.68","331.68M","-1.01%"
"Jul 23, 2019","22,974.57","22,841.47","23,113.95","22,821.49","248.74M","0.83%"
"Jul 22, 2019","22,784.74","22,957.66","22,957.66","22,552.99","295.81M","-0.62%"
"Jul 19, 2019","22,927.82","23,006.87","23,040.52","22,770.53","418.38M","0.22%"
"Jul 18, 2019","22,877.16","23,263.72","23,263.72","22,646.77","3.12B","-1.58%"
"Jul 17, 2019","23,243.41","23,428.98","23,428.98","23,197.34","171.78M","-0.44%"
"Jul 16, 2019","23,346.26","22,991.33","23,370.33","22,908.89","497.52M","1.62%"
"Jul 15, 2019","22,973.42","23,409.83","23,409.83","22,884.71","237.64M","-0.94%"
"Jul 12, 2019","23,190.84","23,220.55","23,441.77","23,026.61","290.17M","0.31%"
"Jul 11, 2019","23,118.97","23,241.92","23,308.20","22,832.78","354.48M","-0.05%"
"Jul 10, 2019","23,130.43","23,288.06","23,523.76","23,098.50","454.50M","-0.43%"
"Jul 09, 2019","23,230.99","24,216.12","24,216.12","22,954.99","966.62M","-6.76%"
"Jul 08, 2019","24,914.73","25,295.86","25,295.86","24,845.49","2.30B","-1.75%"
"Jul 05, 2019","25,358.98","25,653.56","25,779.95","25,238.36","587.36M","-1.13%"
"Jul 04, 2019","25,648.46","26,057.14","26,057.14","25,607.14","218.52M","-1.58%"
"Jul 03, 2019","26,059.31","26,174.39","26,185.64","26,032.21","175.72M","-0.11%"
"Jul 02, 2019","26,087.89","26,115.64","26,160.55","25,937.20","207.63M","0.13%"
"Jul 01, 2019","26,053.60","26,144.34","26,270.10","26,005.01","302.98M","-0.28%"
"Jun 28, 2019","26,128.00","25,902.95","26,159.12","25,901.17","163.79M","0.36%"
"Jun 27, 2019","26,032.99","25,883.83","26,075.33","25,843.86","581.79M","0.68%"
"Jun 26, 2019","25,858.24","25,826.60","25,981.32","25,776.30","359.72M","-0.01%"
"Jun 25, 2019","25,860.92","25,789.32","25,903.26","25,634.65","370.94M","0.91%"
"Jun 24, 2019","25,627.10","25,850.56","25,850.56","25,503.03","218.48M","0.02%"
"Jun 21, 2019","25,621.27","25,740.67","25,849.53","25,539.18","239.78M","-0.27%"
"Jun 20, 2019","25,691.35","25,299.46","25,738.11","25,098.40","313.39M","2.08%"
"Jun 19, 2019","25,167.79","25,227.69","25,309.35","24,989.98","246.84M","0.87%"
"Jun 18, 2019","24,949.67","24,985.56","25,071.47","24,694.14","190.13M","0.38%"
"Jun 17, 2019","24,854.09","25,343.40","25,386.91","24,808.85","223.80M","-1.62%"
"Jun 14, 2019","25,264.58","25,501.49","25,501.49","25,197.47","165.61M","-0.66%"
"Jun 13, 2019","25,431.82","25,362.43","25,482.71","25,238.49","208.41M","0.30%"
"Jun 12, 2019","25,356.67","25,526.76","25,573.68","25,329.90","254.52M","-0.43%"
"Jun 11, 2019","25,466.94","25,435.73","25,514.92","25,382.50","215.37M","0.31%"
"Jun 10, 2019","25,387.77","25,325.37","25,554.58","25,325.37","263.99M","0.47%"
"Jun 07, 2019","25,269.44","25,172.04","25,321.68","24,986.68","365.37M","0.64%"
"Jun 06, 2019","25,108.51","25,154.73","25,281.60","25,014.11","269.00M","-0.07%"
"Jun 04, 2019","25,125.17","25,325.85","25,349.35","25,046.83","272.59M","-0.06%"
"Jun 03, 2019","25,140.63","24,751.07","25,192.03","24,698.87","376.03M","1.78%"
"May 31, 2019","24,700.46","24,723.34","24,880.32","24,547.84","236.83M","0.06%"
"May 30, 2019","24,685.71","24,765.17","24,776.44","24,518.47","200.24M","0.30%"
"May 29, 2019","24,612.90","24,721.16","24,721.16","24,495.31","222.32M","0.04%"
"May 28, 2019","24,602.65","24,629.68","24,724.51","24,530.38","222.68M","-0.10%"
"May 27, 2019","24,626.76","24,275.20","24,737.80","24,215.28","321.56M","1.50%"
"May 24, 2019","24,262.69","24,196.53","24,332.83","23,922.38","218.35M","0.45%"
"May 23, 2019","24,154.37","24,729.20","24,787.10","24,081.83","282.64M","-1.14%"
"May 22, 2019","24,433.48","24,768.38","24,768.38","24,368.95","349.41M","-0.64%"
"May 21, 2019","24,590.31","24,464.74","24,666.54","24,422.74","460.38M","0.65%"
"May 20, 2019","24,431.87","24,058.58","24,537.61","24,058.58","764.42M","2.83%"
