Date,Price,Open,High,Low,Volume,Chg%
"Apr 26, 2018","8,149.36","8,063.97","8,181.36","8,063.97",0,1.06%
"Apr 25, 2018","8,063.97","8,143.85","8,143.85","8,056.07",0,-0.98%
"Apr 24, 2018","8,143.85","8,219.58","8,250.98","8,120.22",0,-0.92%
"Apr 23, 2018","8,219.58","8,160.64","8,288.04","8,123.36",0,0.72%
"Apr 20, 2018","8,160.64","8,058.66","8,166.27","8,058.66",0,1.27%
"Apr 19, 2018","8,058.66","8,027.86","8,064.35","7,999.54",0,0.38%
"Apr 18, 2018","8,027.86","7,816.02","8,035.04","7,816.02",0,2.71%
"Apr 17, 2018","7,816.02","7,716.13","7,840.10","7,716.13",0,1.29%
"Apr 16, 2018","7,716.13","7,756.38","7,768.79","7,713.15",0,-0.52%
"Apr 13, 2018","7,756.38","7,718.79","7,791.19","7,708.30",0,0.49%
"Apr 12, 2018","7,718.79","7,679.83","7,756.63","7,666.71",0,0.51%
"Apr 11, 2018","7,679.83","7,779.00","7,783.59","7,661.46",0,-1.27%
"Apr 10, 2018","7,779.00","7,704.42","7,787.56","7,704.42",0,0.97%
"Apr 09, 2018","7,704.42","7,681.66","7,747.73","7,672.22",0,0.30%
"Apr 06, 2018","7,681.66","7,661.86","7,701.24","7,620.77",0,0.26%
"Apr 05, 2018","7,661.86","7,520.14","7,661.86","7,520.14",0,1.88%
"Apr 04, 2018","7,520.14","7,662.36","7,687.09","7,506.88",0,-1.86%
"Apr 03, 2018","7,662.36","7,732.92","7,734.69","7,626.80",0,-0.91%
"Mar 29, 2018","7,732.92","7,740.73","7,769.11","7,681.77",0,-0.10%
"Mar 28, 2018","7,740.73","7,694.61","7,753.31","7,581.22",0,0.60%
"Mar 27, 2018","7,694.61","7,545.66","7,697.57","7,545.66",0,1.97%
"Mar 26, 2018","7,545.66","7,558.24","7,633.38","7,505.92",0,-0.17%
"Mar 23, 2018","7,558.24","7,597.87","7,597.87","7,480.70",0,-0.52%
"Mar 22, 2018","7,597.87","7,690.60","7,690.60","7,556.30",0,-1.21%
"Mar 21, 2018","7,690.60","7,610.37","7,696.80","7,609.18",0,1.05%
"Mar 20, 2018","7,610.37","7,636.83","7,677.84","7,603.96",0,-0.35%
"Mar 19, 2018","7,636.83","7,723.55","7,723.55","7,628.65",0,-1.12%
"Mar 16, 2018","7,723.55","7,702.57","7,745.95","7,657.47",0,0.27%
"Mar 15, 2018","7,702.57","7,674.46","7,734.33","7,671.95",0,0.37%
"Mar 14, 2018","7,674.46","7,723.05","7,742.27","7,672.97",0,-0.63%
"Mar 13, 2018","7,723.05","7,821.42","7,841.64","7,705.73",0,-1.26%
"Mar 12, 2018","7,821.42","7,859.07","7,861.35","7,796.16",0,-0.48%
"Mar 09, 2018","7,859.07","7,780.92","7,869.42","7,777.09",0,1.00%
"Mar 08, 2018","7,780.92","7,614.31","7,786.91","7,605.21",0,2.19%
"Mar 07, 2018","7,614.31","7,575.28","7,618.09","7,482.94",0,0.52%
"Mar 06, 2018","7,575.28","7,547.62","7,626.75","7,547.62",0,0.37%
"Mar 05, 2018","7,547.62","7,470.89","7,567.15","7,470.89",0,1.03%
"Mar 02, 2018","7,470.89","7,551.01","7,551.01","7,465.30",0,-1.06%
"Mar 01, 2018","7,551.01","7,564.97","7,585.71","7,512.96",0,-0.18%
"Feb 28, 2018","7,564.97","7,674.63","7,674.63","7,564.97",0,-1.43%
"Feb 27, 2018","7,674.63","7,662.98","7,702.18","7,611.96",0,0.15%
"Feb 26, 2018","7,662.98","7,634.26","7,680.12","7,614.45",0,0.38%
"Feb 23, 2018","7,634.26","7,642.19","7,652.38","7,592.31",0,-0.10%
"Feb 22, 2018","7,642.19","7,619.68","7,656.55","7,563.16",0,0.30%
"Feb 21, 2018","7,619.68","7,581.16","7,635.28","7,538.18",0,0.51%
"Feb 20, 2018","7,581.16","7,518.27","7,581.16","7,518.27",0,0.84%
"Feb 19, 2018","7,518.27","7,607.99","7,631.73","7,507.25",0,-1.18%
"Feb 16, 2018","7,607.99","7,517.57","7,624.19","7,516.79",0,1.20%
"Feb 15, 2018","7,517.57","7,379.60","7,525.89","7,358.59",0,1.87%
"Feb 14, 2018","7,379.60","7,287.37","7,430.46","7,275.15",0,1.27%
"Feb 13, 2018","7,287.37","7,311.72","7,356.32","7,287.37",0,-0.33%
"Feb 12, 2018","7,311.72","7,198.34","7,368.94","7,198.34",0,1.58%
"Feb 09, 2018","7,198.34","7,244.71","7,325.06","7,184.56",0,-0.64%
"Feb 08, 2018","7,244.71","7,344.47","7,407.55","7,206.95",0,-1.36%
"Feb 07, 2018","7,344.47","7,118.85","7,363.92","7,079.64",0,3.17%
"Feb 06, 2018","7,118.85","7,273.79","7,273.79","6,996.58",0,-2.13%
"Feb 05, 2018","7,273.79","7,340.59","7,340.59","7,221.54",0,-0.91%
"Feb 02, 2018","7,340.59","7,422.15","7,463.36","7,328.85",0,-1.10%
"Feb 01, 2018","7,422.15","7,527.63","7,558.66","7,404.18",0,-1.40%
"Jan 31, 2018","7,527.63","7,542.72","7,573.12","7,507.31",0,-0.20%
"Jan 30, 2018","7,542.72","7,624.49","7,624.49","7,522.68",0,-1.07%
"Jan 29, 2018","7,624.49","7,645.61","7,657.87","7,601.53",0,-0.28%
"Jan 26, 2018","7,645.61","7,646.66","7,688.99","7,598.61",0,-0.01%
"Jan 25, 2018","7,646.66","7,476.67","7,701.05","7,473.38",0,2.27%
"Jan 24, 2018","7,476.67","7,536.22","7,537.14","7,459.57",0,-0.79%
"Jan 23, 2018","7,536.22","7,386.00","7,576.71","7,385.01",0,2.03%
"Jan 22, 2018","7,386.00","7,363.36","7,435.62","7,353.81",0,0.31%
"Jan 19, 2018","7,363.36","7,311.50","7,375.56","7,300.57",0,0.71%
"Jan 18, 2018","7,311.50","7,358.04","7,369.49","7,284.77",0,-0.63%
"Jan 17, 2018","7,358.04","7,360.20","7,391.95","7,337.34",0,-0.03%
"Jan 16, 2018","7,360.20","7,335.24","7,392.81","7,329.75",0,0.34%
"Jan 15, 2018","7,335.24","7,391.01","7,393.62","7,327.16",0,-0.75%
