date,Durable good,overlap,consumer,goods,company,Industry,fast moving consumer goods,loan,Sales,Product,Market
2017-09-16,0.0,,33.0,36.0,60.0,30.0,0.0,80.0,53.0,75.0,61.0
2017-09-17,0.0,,37.0,23.0,54.0,27.0,0.0,57.0,50.0,84.0,55.0
2017-09-18,0.0,,51.0,32.0,71.0,48.0,0.0,90.0,57.0,81.0,76.0
2017-09-19,0.0,,57.0,38.0,74.0,38.0,0.0,80.0,72.0,85.0,78.0
2017-09-20,0.0,,59.0,40.0,63.0,33.0,0.0,79.0,68.0,98.0,70.0
2017-09-21,0.0,,58.0,30.0,65.0,38.0,0.0,73.0,62.0,79.0,72.0
2017-09-22,0.0,,47.0,36.0,60.0,36.0,0.0,81.0,64.0,84.0,75.0
2017-09-23,0.0,,35.0,28.0,55.0,32.0,0.0,75.0,71.0,79.0,58.0
2017-09-24,0.0,,30.0,32.0,50.0,27.0,0.0,62.0,51.0,79.0,57.0
2017-09-25,0.0,,55.0,23.0,55.0,31.0,0.0,85.0,59.0,78.0,79.0
2017-09-26,0.0,,60.0,35.0,62.0,29.0,0.0,86.0,69.0,93.0,74.0
2017-09-27,0.0,,63.0,27.0,62.0,36.0,0.0,75.0,60.0,76.0,74.0
2017-09-28,0.0,,51.0,26.0,57.0,25.0,0.0,77.0,53.0,75.0,75.0
2017-09-29,0.0,,45.0,26.0,49.0,24.0,0.0,62.0,49.0,79.0,77.0
2017-09-30,0.0,,30.0,18.0,47.0,25.0,100.0,55.0,38.0,62.0,68.0
2017-10-01,0.0,,22.0,13.0,43.0,20.0,0.0,56.0,50.0,60.0,62.0
2017-10-02,0.0,,38.0,18.0,46.0,37.0,0.0,62.0,73.0,68.0,73.0
2017-10-03,0.0,,73.0,29.0,63.0,32.0,0.0,90.0,79.0,85.0,73.0
2017-10-04,98.0,,63.0,18.0,65.0,40.0,0.0,89.0,78.0,82.0,75.0
2017-10-05,0.0,,63.0,32.0,64.0,44.0,0.0,81.0,64.0,99.0,69.0
2017-10-06,0.0,,61.0,34.0,59.0,39.0,0.0,77.0,71.0,75.0,77.0
2017-10-07,0.0,,37.0,21.0,51.0,34.0,0.0,69.0,51.0,79.0,62.0
2017-10-08,0.0,,37.0,26.0,51.0,26.0,0.0,67.0,47.0,71.0,56.0
2017-10-09,0.0,,61.0,22.0,68.0,37.0,0.0,95.0,59.0,86.0,79.0
2017-10-10,0.0,,59.0,33.0,71.0,41.0,0.0,89.0,56.0,74.0,75.0
