"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2019","13,797.30","13,807.86","13,873.88","13,762.59","2.13M","-0.15%"
"May 09, 2019","13,818.08","13,833.82","13,853.21","13,703.73","2.52M","-0.28%"
"May 08, 2019","13,856.27","14,007.60","14,044.90","13,832.06","2.52M","-1.26%"
"May 07, 2019","14,033.54","14,107.64","14,148.24","14,012.45","3.15M","-0.44%"
"May 06, 2019","14,095.51","14,109.35","14,151.91","14,049.24","3.01M","-0.40%"
"May 03, 2019","14,152.57","14,265.30","14,290.64","14,119.49","1.79M","-0.70%"
"May 02, 2019","14,251.79","14,383.17","14,413.46","14,229.40","2.13M","-0.80%"
"Apr 30, 2019","14,367.02","14,467.59","14,481.42","14,250.75","2.31M","-0.68%"
"Apr 26, 2019","14,464.70","14,473.68","14,593.75","14,450.92","2.27M","0.16%"
"Apr 25, 2019","14,441.36","14,500.60","14,571.56","14,423.69","2.61M","-0.27%"
"Apr 24, 2019","14,480.71","14,400.00","14,496.93","14,383.36","1.73M","0.47%"
"Apr 23, 2019","14,413.10","14,343.27","14,471.94","14,320.10","2.65M","0.73%"
"Apr 22, 2019","14,308.03","14,490.67","14,494.05","14,273.17","1.50M","-1.19%"
"Apr 18, 2019","14,480.77","14,553.90","14,566.32","14,402.65","1.57M","-0.28%"
"Apr 16, 2019","14,520.93","14,547.72","14,587.61","14,509.36","3.15M","0.11%"
"Apr 15, 2019","14,505.67","14,504.75","14,539.00","14,440.68","1.64M","0.16%"
"Apr 12, 2019","14,481.90","14,443.80","14,509.72","14,426.00","2.06M","0.35%"
"Apr 11, 2019","14,431.10","14,424.47","14,469.29","14,395.82","2.46M","-0.10%"
"Apr 10, 2019","14,445.08","14,360.06","14,577.86","14,346.99","2.48M","0.51%"
"Apr 09, 2019","14,371.55","14,268.98","14,393.60","14,233.76","2.77M","0.69%"
"Apr 08, 2019","14,273.40","14,377.90","14,401.26","14,243.34","1.98M","-0.40%"
"Apr 05, 2019","14,331.26","14,362.60","14,405.65","14,316.19","6.92M","0.08%"
"Apr 04, 2019","14,319.99","14,232.36","14,338.44","14,230.35","2.51M","0.63%"
"Apr 03, 2019","14,230.12","14,409.72","14,450.48","14,209.30","1.99M","-1.04%"
"Apr 02, 2019","14,379.35","14,509.98","14,523.55","14,344.02","2.27M","-0.52%"
"Apr 01, 2019","14,454.65","14,433.11","14,521.92","14,430.96","5.18M","0.32%"
"Mar 29, 2019","14,407.89","14,267.04","14,434.14","14,255.70","2.79M","1.37%"
"Mar 28, 2019","14,212.94","14,140.99","14,241.88","14,100.80","3.12M","0.78%"
"Mar 27, 2019","14,102.48","14,220.18","14,298.39","14,077.46","4.66M","-0.69%"
"Mar 26, 2019","14,200.01","14,142.31","14,216.29","14,116.79","3.17M","0.61%"
"Mar 25, 2019","14,113.89","14,163.90","14,163.90","14,033.60","3.40M","-0.48%"
"Mar 22, 2019","14,182.20","14,310.49","14,359.51","14,168.39","5.33M","-0.69%"
"Mar 20, 2019","14,280.44","14,262.53","14,323.09","14,245.77","2.54M","0.08%"
"Mar 19, 2019","14,269.51","14,236.05","14,354.08","14,236.05","4.80M","0.38%"
"Mar 18, 2019","14,215.69","14,229.72","14,269.18","14,162.46","2.43M","-0.15%"
