"Date","Price","Open","High","Low","Vol.","Change %"
"May 03, 2019","15,659.96","15,848.53","15,848.53","15,631.25","4.42M","-1.91%"
"May 02, 2019","15,964.96","16,256.85","16,262.80","15,942.71","3.63M","-1.84%"
"Apr 30, 2019","16,263.51","16,042.55","16,300.90","16,041.31","37.54M","1.36%"
"Apr 26, 2019","16,044.75","15,888.02","16,079.61","15,888.02","4.64M","1.20%"
"Apr 25, 2019","15,854.23","15,881.79","15,912.25","15,816.70","4.60M","-0.36%"
"Apr 24, 2019","15,911.97","15,702.77","15,945.60","15,685.77","5.18M","1.34%"
"Apr 23, 2019","15,702.27","15,687.26","15,721.97","15,593.22","4.37M","0.33%"
"Apr 22, 2019","15,650.71","15,581.40","15,722.85","15,567.70","5.15M","0.58%"
"Apr 18, 2019","15,559.94","15,648.49","15,655.15","15,508.66","12.30M","-0.20%"
"Apr 16, 2019","15,590.77","15,629.80","15,663.39","15,537.15","9.08M","0.05%"
"Apr 15, 2019","15,582.88","15,422.41","15,600.91","15,355.17","10.20M","0.72%"
"Apr 12, 2019","15,471.41","15,508.26","15,571.76","15,392.43","6.52M","0.19%"
"Apr 11, 2019","15,441.97","15,625.55","15,625.55","15,424.81","4.80M","-1.07%"
"Apr 10, 2019","15,608.27","15,816.18","15,816.18","15,586.08","6.64M","-0.90%"
"Apr 09, 2019","15,750.42","15,746.49","15,861.05","15,679.92","5.71M","0.28%"
"Apr 08, 2019","15,705.77","15,624.09","15,751.90","15,515.55","9.45M","0.97%"
"Apr 05, 2019","15,554.87","15,433.61","15,603.61","15,399.49","5.50M","1.14%"
"Apr 04, 2019","15,379.30","15,608.23","15,610.98","15,334.00","48.86M","-1.53%"
"Apr 03, 2019","15,618.95","15,699.02","15,699.28","15,530.01","4.40M","-0.15%"
"Apr 02, 2019","15,643.17","15,574.37","15,701.08","15,548.13","5.28M","0.72%"
"Apr 01, 2019","15,531.98","15,324.62","15,605.61","15,324.62","5.84M","1.65%"
"Mar 29, 2019","15,280.30","15,315.77","15,397.68","15,236.47","2.95M","0.35%"
"Mar 28, 2019","15,226.78","15,049.02","15,294.01","15,049.02","5.16M","1.45%"
"Mar 27, 2019","15,009.62","15,038.95","15,090.89","14,971.92","6.74M","-0.07%"
"Mar 26, 2019","15,020.88","15,111.43","15,111.49","14,896.13","4.47M","-0.58%"
"Mar 25, 2019","15,109.08","15,245.37","15,262.35","15,069.35","7.25M","-0.86%"
"Mar 22, 2019","15,240.23","15,307.61","15,330.67","15,143.01","6.90M","-0.17%"
"Mar 20, 2019","15,266.16","15,181.25","15,371.64","15,181.25","6.50M","0.93%"
"Mar 19, 2019","15,124.77","15,040.30","15,177.82","14,919.57","5.34M","0.94%"
"Mar 18, 2019","14,984.63","15,224.04","15,273.36","14,927.97","6.87M","-1.15%"
"Mar 15, 2019","15,158.73","14,960.46","15,266.83","14,940.22","7.63M","1.75%"
"Mar 14, 2019","14,897.56","15,037.31","15,041.27","14,850.97","6.05M","-0.42%"
"Mar 13, 2019","14,960.63","15,012.16","15,109.70","14,900.69","10.65M","-0.20%"
"Mar 12, 2019","14,989.88","15,031.15","15,102.79","14,960.88","5.75M","-0.22%"
"Mar 11, 2019","15,022.65","15,051.01","15,124.72","14,977.51","9.14M","-0.06%"
"Mar 08, 2019","15,032.21","15,200.93","15,201.00","15,016.36","52.38M","-0.88%"
"Mar 07, 2019","15,165.51","15,323.19","15,325.90","15,140.46","10.68M","-0.70%"
"Mar 06, 2019","15,272.78","15,281.46","15,350.82","15,216.17","9.19M","0.29%"
"Mar 05, 2019","15,228.04","15,381.50","15,381.50","15,199.88","6.91M","-0.86%"
"Mar 01, 2019","15,359.68","15,296.88","15,382.62","15,284.09","4.38M","0.69%"
"Feb 28, 2019","15,253.86","15,468.52","15,504.22","15,226.23","4.46M","-1.02%"
"Feb 27, 2019","15,411.78","15,482.56","15,522.91","15,336.41","6.94M","-0.30%"
"Feb 26, 2019","15,457.85","15,397.11","15,533.91","15,356.66","4.17M","-0.16%"
"Feb 25, 2019","15,482.45","15,147.85","15,518.98","15,145.92","6.40M","2.46%"
"Feb 22, 2019","15,110.63","15,068.54","15,139.29","14,993.86","4.85M","0.40%"
"Feb 21, 2019","15,049.83","15,110.08","15,152.06","14,979.64","4.56M","-0.32%"
"Feb 20, 2019","15,098.72","14,935.14","15,136.26","14,906.49","4.58M","1.44%"
"Feb 19, 2019","14,884.98","15,187.84","15,188.01","14,837.11","4.70M","-2.09%"
"Feb 18, 2019","15,202.41","15,418.70","15,487.60","15,179.31","3.62M","-1.14%"
"Feb 15, 2019","15,378.44","15,411.04","15,483.10","15,231.37","6.93M","-0.22%"
"Feb 14, 2019","15,411.92","15,589.22","15,589.22","15,386.90","4.92M","-1.28%"
"Feb 13, 2019","15,612.43","15,512.07","15,655.78","15,465.81","3.21M","0.67%"
"Feb 12, 2019","15,508.70","15,682.18","15,683.18","15,345.28","3.80M","-0.94%"
"Feb 11, 2019","15,655.40","15,625.79","15,753.50","15,618.17","5.16M","0.20%"
"Feb 08, 2019","15,624.07","15,709.20","15,776.48","15,588.33","5.16M","-0.55%"
"Feb 07, 2019","15,710.64","15,683.01","15,809.62","15,666.10","6.12M","0.11%"
"Feb 06, 2019","15,692.72","15,498.32","15,725.04","15,492.38","6.56M","1.64%"
"Feb 05, 2019","15,438.78","15,445.27","15,528.74","15,355.29","6.15K","-0.09%"
"Feb 04, 2019","15,452.04","15,418.23","15,520.44","15,345.78","4.81M","0.12%"
"Feb 01, 2019","15,433.98","15,274.90","15,455.97","15,232.97","5.00K","1.11%"
"Jan 31, 2019","15,264.10","15,018.55","15,275.97","15,001.61","7.77K","2.13%"
"Jan 30, 2019","14,945.87","14,984.73","15,053.16","14,886.26","6.57K","0.01%"
"Jan 29, 2019","14,943.81","14,864.03","14,991.88","14,714.71","6.82K","0.65%"
"Jan 28, 2019","14,847.07","14,842.93","14,901.82","14,742.19","7.83M","0.42%"
"Jan 25, 2019","14,784.37","14,728.23","14,901.21","14,688.32","8.13M","0.20%"
"Jan 24, 2019","14,755.21","14,669.79","14,811.58","14,582.27","28.90M","0.76%"
"Jan 23, 2019","14,643.92","14,771.09","14,772.70","14,605.65","6.35M","-0.85%"
"Jan 22, 2019","14,768.96","14,757.31","14,805.52","14,648.57","6.42M","0.03%"
"Jan 21, 2019","14,764.45","14,681.02","14,915.26","14,668.56","6.85M","0.64%"
"Jan 18, 2019","14,670.87","14,616.21","14,697.18","14,543.05","6.20M","0.14%"
"Jan 17, 2019","14,649.86","14,587.25","14,660.55","14,531.23","7.31M","0.49%"
"Jan 16, 2019","14,579.15","14,506.86","14,592.95","14,473.08","8.76M","0.65%"
"Jan 15, 2019","14,484.83","14,111.24","14,513.92","14,111.24","9.15M","3.02%"
"Jan 14, 2019","14,060.87","14,265.61","14,289.72","14,035.18","5.86M","0.09%"
"Jan 11, 2019","14,048.26","14,113.64","14,113.64","13,915.58","5.68M","-0.39%"
"Jan 10, 2019","14,103.58","14,166.54","14,168.49","14,062.59","3.28K","0.13%"
"Jan 09, 2019","14,084.92","14,216.23","14,274.93","13,923.70","6.22M","0.32%"
"Jan 08, 2019","14,039.38","14,082.30","14,137.18","14,016.73","4.36K","-0.06%"
"Jan 07, 2019","14,048.49","13,997.51","14,135.11","13,958.71","4.88K","1.11%"
"Jan 04, 2019","13,894.84","14,103.19","14,112.23","13,712.99","5.22K","-1.15%"
"Jan 03, 2019","14,056.28","14,178.34","14,292.68","14,035.86","4.00M","-0.89%"
"Jan 02, 2019","14,182.96","14,168.24","14,295.44","14,110.51","5.07K","0.28%"
"Jan 01, 2019","14,142.86","14,135.84","14,170.84","14,026.64","3.18M","0.38%"
"Dec 31, 2018","14,089.56","14,078.02","14,141.28","14,053.13","3.17K","0.27%"
"Dec 28, 2018","14,052.06","14,093.42","14,128.89","14,042.43","4.34K","0.06%"
"Dec 27, 2018","14,043.29","13,976.14","14,156.22","13,971.48","4.59K","1.32%"
"Dec 26, 2018","13,860.71","13,960.51","13,971.15","13,739.58","4.89M","-0.74%"
"Dec 24, 2018","13,963.93","14,021.47","14,084.71","13,935.02","4.67K","0.50%"
"Dec 21, 2018","13,893.80","14,223.77","14,223.89","13,851.59","7.22K","-2.62%"
"Dec 20, 2018","14,268.12","14,264.03","14,336.03","14,195.53","6.42K","-0.23%"
"Dec 19, 2018","14,300.38","14,436.46","14,436.46","14,216.40","6.83M","-1.06%"
"Dec 18, 2018","14,453.42","14,628.25","14,628.25","14,409.61","7.09K","-1.08%"
"Dec 17, 2018","14,611.91","14,747.71","14,766.11","14,583.32","5.61K","-0.35%"
"Dec 14, 2018","14,663.55","14,596.35","14,729.70","14,543.33","6.25M","0.41%"
"Dec 13, 2018","14,603.08","14,504.86","14,646.05","14,443.55","10.94M","0.79%"
