Date,Open,High,Low,Close,Adj Close,Volume,Google
12/17/2018,41.362499,42.087502,37.407501,37.682499,36.634705,1150777200,38
12/24/2018,37.037498,39.630001,36.647499,39.057499,37.971478,764640800,46
12/31/2018,39.6325,39.84,35.5,37.064999,36.034378,887850000,39
1/7/2019,37.174999,38.6325,36.474998,38.072498,37.013863,814824400,35
1/14/2019,37.712502,39.470001,37.305,39.205002,38.114872,621168000,33
1/21/2019,39.102501,39.532501,37.924999,39.439999,38.343342,450006400,31
1/28/2019,38.947498,42.25,38.415001,41.630001,40.47245,809187200,32
2/4/2019,41.852501,43.892502,41.82,42.602501,41.417904,605593600,31
2/11/2019,42.762501,43.119999,42.3125,42.605,41.597977,448918400,28
2/18/2019,42.427502,43.330002,42.372501,43.2425,42.220413,325000400,29
2/25/2019,43.540001,43.967499,43.182499,43.7425,42.708588,483522400,28
3/4/2019,43.922501,44.4375,42.375,43.227501,42.205765,467119200,27
3/11/2019,43.872501,46.8325,43.837502,46.529999,45.430206,632534000,28
3/18/2019,46.450001,49.422501,46.182499,47.762501,46.633575,729373200,30
3/25/2019,47.877499,48.220001,46.145,47.487499,46.365078,671354400,34
4/1/2019,47.91,49.275002,47.095001,49.25,48.085918,446161600,29
4/8/2019,49.105,50.712502,49.052502,49.717499,48.542362,528026800,30
4/15/2019,49.645,51.037498,49.502499,50.965,49.760384,385342400,28
4/22/2019,50.7075,52.119999,50.529999,51.075001,49.867783,389981600,28
4/29/2019,51.099998,53.827499,49.7775,52.9375,51.686256,745822400,29
5/6/2019,51.072498,52.209999,48.192501,49.294998,48.129848,694654400,29
5/13/2019,46.927502,48.1175,45.712502,47.25,46.310844,745662000,28
5/20/2019,45.880001,47,44.452499,44.7425,43.853188,627880400,29
5/27/2019,44.73,45.147499,43.747501,43.767502,42.897568,418765600,29
6/3/2019,43.900002,47.98,42.567501,47.537498,46.59264,617392800,36
6/10/2019,47.952499,49.197498,47.575001,48.185001,47.227257,447372400,30
6/17/2019,48.224998,50.212502,48.0425,49.695,48.707249,526635600,30
6/24/2019,49.634998,50.392502,48.822498,49.48,48.496521,469474000,30
7/1/2019,50.7925,51.27,50.162498,51.057499,50.042667,291262800,29
7/8/2019,50.202499,51.0975,49.602501,50.825001,49.814793,406402800,30
7/15/2019,51.022499,51.625,50.59,50.647499,49.640816,349566400,31
7/22/2019,50.912498,52.432499,50.9025,51.935001,50.902733,348612800,29
7/29/2019,52.115002,55.342499,50.407501,51.005001,49.991215,879082000,31
8/5/2019,49.497501,50.8825,48.145,50.247501,49.248764,692845600,30
8/12/2019,49.904999,53.035,49.787498,51.625,50.791134,644382400,31
8/19/2019,52.654999,53.610001,50.25,50.66,49.841721,567620000,32
8/26/2019,51.465,52.612499,50.830002,52.185001,51.342094,439958400,52
9/2/2019,51.607498,53.605,51.055,53.314999,52.453835,329948400,100
9/9/2019,53.709999,56.605,52.767502,54.6875,53.804169,701467600,98
9/16/2019,54.432499,55.939999,54.3675,54.432499,53.553288,569162000,80
9/23/2019,54.737499,55.622501,54.285,54.705002,53.821384,465780800,61
9/30/2019,55.224998,57.055,53.782501,56.752499,55.835815,634486800,38
10/7/2019,56.567501,59.41,56.0825,59.052502,58.098663,588705600,38
10/14/2019,58.724998,59.532501,58.299999,59.102501,58.147861,422709600,37
10/21/2019,59.380001,61.682499,59.330002,61.645,60.649292,388122000,34
10/28/2019,61.855,63.982498,59.314999,63.955002,62.921978,654221600,39
11/4/2019,64.332497,65.110001,63.842499,65.035004,63.984535,423960800,38
11/11/2019,64.574997,66.445,64.57,66.440002,65.563095,461333600,39
11/18/2019,66.449997,67,65.099998,65.445,64.581223,455825200,38
11/25/2019,65.677498,67,65.625,66.8125,65.930672,301081200,49
12/2/2019,66.817497,67.75,64.072502,67.677498,66.784248,456599200,42
12/9/2019,67.5,68.824997,66.227501,68.787498,67.879601,568117600,38
12/16/2019,69.25,70.662498,69.245003,69.860001,68.93795,732720000,39
