date,AAPL,overlap,MSFT,NVDA,V,MA,AVGO,CSCO,ACN,CRM,ADBE
2017-08-15,17.0,1.0,17.0,39.0,62.0,67.0,9.0,14.0,60.0,66.0,17.0
2017-08-16,16.0,1.0,10.0,24.0,62.0,65.0,27.0,35.0,44.0,78.0,12.0
2017-08-17,16.0,1.0,12.0,24.0,61.0,67.0,12.0,41.0,53.0,74.0,5.0
2017-08-18,13.0,1.0,12.0,26.0,62.0,69.0,16.0,14.0,60.0,60.0,7.0
2017-08-19,4.0,1.0,5.0,7.0,76.0,65.0,5.0,4.0,37.0,35.0,2.0
2017-08-20,2.0,1.0,3.0,5.0,75.0,66.0,7.0,4.0,29.0,32.0,6.0
2017-08-21,12.0,1.0,12.0,17.0,61.0,67.0,7.0,16.0,53.0,75.0,2.0
2017-08-22,13.0,1.0,10.0,21.0,62.0,67.0,20.0,25.0,53.0,80.0,10.0
2017-08-23,12.0,1.0,10.0,23.0,60.0,66.0,22.0,21.0,78.0,82.0,8.0
2017-08-24,10.0,1.0,13.0,19.0,61.0,66.0,42.0,17.0,44.0,66.0,12.0
2017-08-25,11.0,1.0,14.0,19.0,65.0,67.0,33.0,25.0,60.0,55.0,8.0
2017-08-26,4.0,1.0,4.0,4.0,86.0,62.0,5.0,8.0,25.0,29.0,2.0
2017-08-27,3.0,1.0,3.0,2.0,98.0,59.0,5.0,0.0,33.0,24.0,0.0
2017-08-28,12.0,1.0,12.0,16.0,60.0,64.0,17.0,24.0,60.0,72.0,5.0
2017-08-29,11.0,1.0,11.0,17.0,60.0,65.0,10.0,8.0,60.0,80.0,9.0
2017-08-30,15.0,1.0,10.0,16.0,59.0,63.0,30.0,14.0,45.0,71.0,5.0
2017-08-31,18.0,1.0,13.0,24.0,63.0,62.0,11.0,34.0,55.0,68.0,12.0
2017-09-01,14.0,1.0,13.0,20.0,65.0,65.0,10.0,23.0,58.0,63.0,11.0
2017-09-02,3.0,1.0,4.0,5.0,72.0,63.0,12.0,7.0,27.0,34.0,8.0
2017-09-03,1.0,1.0,3.0,5.0,69.0,64.0,5.0,7.0,47.0,35.0,2.0
2017-09-04,3.0,1.0,6.0,7.0,67.0,60.0,13.0,10.0,42.0,70.0,5.0
2017-09-05,14.0,1.0,8.0,22.0,65.0,62.0,18.0,26.0,48.0,80.0,8.0
