date,information technology,overlap,technology,information,computers,communication,MSCI,exchange-traded funds,artificial intelligence,information literacy,media communication
2017-07-18,74.0,1.0,89.0,75.0,61.0,71.0,20.0,0.0,43.0,23.0,50.0
2017-07-19,66.0,1.0,88.0,77.0,71.0,70.0,19.0,0.0,42.0,24.0,39.0
2017-07-20,61.0,1.0,84.0,78.0,65.0,64.0,20.0,0.0,39.0,49.0,31.0
2017-07-21,57.0,1.0,72.0,70.0,63.0,58.0,18.0,0.0,42.0,11.0,37.0
2017-07-22,45.0,1.0,60.0,55.0,52.0,47.0,7.0,0.0,32.0,6.0,21.0
2017-07-23,44.0,1.0,60.0,60.0,54.0,41.0,10.0,0.0,28.0,9.0,34.0
2017-07-24,73.0,1.0,83.0,77.0,66.0,71.0,21.0,32.0,46.0,18.0,27.0
2017-07-25,70.0,1.0,88.0,77.0,69.0,65.0,18.0,0.0,43.0,10.0,27.0
2017-07-26,60.0,1.0,87.0,77.0,74.0,69.0,18.0,27.0,53.0,18.0,20.0
2017-07-27,55.0,1.0,86.0,77.0,68.0,67.0,15.0,32.0,41.0,20.0,31.0
2017-07-28,63.0,1.0,79.0,71.0,64.0,59.0,16.0,0.0,38.0,20.0,23.0
2017-07-29,54.0,1.0,58.0,53.0,61.0,43.0,7.0,0.0,39.0,15.0,24.0
2017-07-30,49.0,1.0,59.0,60.0,55.0,46.0,10.0,0.0,48.0,30.0,22.0
2017-07-31,64.0,1.0,82.0,74.0,76.0,70.0,18.0,0.0,71.0,21.0,5.0
2017-08-01,68.0,1.0,87.0,76.0,68.0,70.0,22.0,0.0,78.0,20.0,26.0
2017-08-02,74.0,1.0,86.0,76.0,77.0,65.0,19.0,0.0,86.0,16.0,31.0
2017-08-03,60.0,1.0,89.0,74.0,72.0,65.0,18.0,0.0,53.0,27.0,32.0
2017-08-04,58.0,1.0,73.0,70.0,66.0,59.0,18.0,0.0,57.0,24.0,26.0
2017-08-05,33.0,1.0,51.0,53.0,59.0,42.0,7.0,0.0,37.0,20.0,25.0
2017-08-06,40.0,1.0,53.0,56.0,52.0,45.0,8.0,0.0,41.0,23.0,13.0
2017-08-07,55.0,1.0,81.0,74.0,76.0,61.0,22.0,0.0,49.0,24.0,29.0
2017-08-08,59.0,1.0,81.0,80.0,71.0,63.0,15.0,0.0,64.0,24.0,40.0
2017-08-09,59.0,1.0,81.0,76.0,67.0,63.0,16.0,0.0,41.0,44.0,32.0
2017-08-10,61.0,1.0,78.0,79.0,74.0,68.0,26.0,0.0,53.0,23.0,38.0
2017-08-11,54.0,1.0,77.0,72.0,69.0,55.0,28.0,0.0,45.0,18.0,39.0
2017-08-12,32.0,1.0,52.0,51.0,56.0,43.0,11.0,0.0,33.0,14.0,26.0
2017-08-13,34.0,1.0,53.0,54.0,64.0,44.0,9.0,0.0,45.0,11.0,18.0
2017-08-14,55.0,1.0,72.0,71.0,69.0,61.0,12.0,0.0,46.0,16.0,45.0
2017-08-15,66.0,1.0,79.0,74.0,71.0,64.0,13.0,27.0,40.0,28.0,26.0
2017-08-16,57.0,1.0,79.0,79.0,68.0,68.0,16.0,0.0,46.0,15.0,38.0
2017-08-17,53.0,1.0,85.0,76.0,65.0,69.0,25.0,0.0,39.0,15.0,24.0
2017-08-18,54.0,1.0,76.0,73.0,62.0,58.0,20.0,28.0,42.0,24.0,31.0
2017-08-19,46.0,1.0,54.0,55.0,58.0,45.0,6.0,0.0,37.0,20.0,12.0
2017-08-20,45.0,1.0,54.0,64.0,57.0,51.0,9.0,0.0,38.0,14.0,31.0
2017-08-21,56.0,1.0,78.0,72.0,72.0,62.0,15.0,31.0,48.0,16.0,31.0
2017-08-22,61.0,1.0,85.0,79.0,76.0,71.0,21.0,0.0,64.0,14.0,32.0
2017-08-23,52.0,1.0,84.0,76.0,76.0,71.0,18.0,0.0,52.0,36.0,22.0
2017-08-24,68.0,1.0,86.0,80.0,76.0,67.0,19.0,0.0,52.0,15.0,33.0
2017-08-25,62.0,1.0,74.0,73.0,73.0,58.0,16.0,0.0,40.0,13.0,49.0
2017-08-26,42.0,1.0,51.0,53.0,56.0,47.0,7.0,0.0,38.0,23.0,14.0
2017-08-27,42.0,1.0,49.0,58.0,57.0,46.0,10.0,0.0,34.0,17.0,61.0
2017-08-28,65.0,1.0,84.0,79.0,71.0,73.0,16.0,0.0,42.0,13.0,32.0
2017-08-29,58.0,1.0,88.0,83.0,75.0,69.0,26.0,27.0,46.0,30.0,36.0
2017-08-30,64.0,1.0,89.0,82.0,78.0,80.0,14.0,0.0,49.0,18.0,31.0
2017-08-31,54.0,1.0,85.0,77.0,78.0,67.0,17.0,0.0,47.0,30.0,33.0
2017-09-01,38.0,1.0,69.0,71.0,74.0,58.0,17.0,0.0,49.0,10.0,29.0
2017-09-02,36.0,1.0,51.0,54.0,61.0,42.0,7.0,0.0,33.0,20.0,27.0
2017-09-03,45.0,1.0,55.0,64.0,60.0,52.0,7.0,0.0,39.0,20.0,33.0
2017-09-04,56.0,1.0,76.0,72.0,69.0,65.0,14.0,0.0,76.0,8.0,48.0
2017-09-05,64.0,1.0,90.0,83.0,73.0,74.0,22.0,0.0,74.0,22.0,42.0
2017-09-06,69.0,1.0,92.0,90.0,79.0,85.0,22.0,0.0,69.0,34.0,37.0
2017-09-07,70.0,1.0,91.0,93.0,77.0,82.0,15.0,0.0,54.0,27.0,41.0
2017-09-08,57.0,,80.0,78.0,70.0,67.0,18.0,0.0,54.0,21.0,35.0
2017-09-09,42.0,,51.0,63.0,63.0,48.0,12.0,0.0,46.0,17.0,39.0
2017-09-10,47.0,,57.0,74.0,56.0,57.0,12.0,0.0,49.0,17.0,19.0
2017-09-11,61.0,,84.0,87.0,72.0,77.0,15.0,0.0,55.0,35.0,43.0
2017-09-12,74.0,,93.0,89.0,71.0,77.0,17.0,0.0,88.0,40.0,56.0
2017-09-13,72.0,,96.0,88.0,80.0,86.0,11.0,0.0,61.0,79.0,45.0
2017-09-14,70.0,,89.0,92.0,81.0,78.0,13.0,0.0,61.0,15.0,37.0
2017-09-15,74.0,,85.0,83.0,73.0,67.0,18.0,0.0,67.0,16.0,49.0
2017-09-16,42.0,,57.0,55.0,55.0,46.0,9.0,0.0,40.0,6.0,39.0
2017-09-17,43.0,,54.0,70.0,52.0,55.0,7.0,0.0,46.0,23.0,41.0
2017-09-18,67.0,,96.0,85.0,82.0,78.0,17.0,0.0,52.0,15.0,46.0
2017-09-19,64.0,,96.0,90.0,85.0,83.0,14.0,61.0,65.0,55.0,46.0
2017-09-20,65.0,,91.0,85.0,69.0,79.0,16.0,0.0,56.0,10.0,43.0
2017-09-21,53.0,,87.0,86.0,74.0,82.0,14.0,0.0,55.0,31.0,64.0
2017-09-22,67.0,,78.0,85.0,70.0,73.0,16.0,0.0,43.0,26.0,28.0
2017-09-23,34.0,,54.0,57.0,59.0,46.0,6.0,0.0,39.0,23.0,26.0
2017-09-24,52.0,,55.0,70.0,55.0,58.0,5.0,0.0,43.0,23.0,41.0
2017-09-25,67.0,,87.0,80.0,74.0,88.0,11.0,0.0,64.0,25.0,30.0
2017-09-26,72.0,,93.0,90.0,72.0,88.0,23.0,61.0,54.0,45.0,83.0
2017-09-27,52.0,,85.0,93.0,64.0,79.0,14.0,0.0,56.0,10.0,43.0
2017-09-28,57.0,,84.0,88.0,62.0,76.0,19.0,0.0,49.0,36.0,37.0
2017-09-29,54.0,,78.0,75.0,58.0,67.0,11.0,0.0,54.0,16.0,45.0
2017-09-30,38.0,,53.0,54.0,56.0,49.0,4.0,0.0,36.0,12.0,23.0
2017-10-01,42.0,,51.0,63.0,55.0,57.0,7.0,0.0,41.0,6.0,45.0
2017-10-02,68.0,,84.0,90.0,60.0,81.0,13.0,0.0,53.0,20.0,40.0
2017-10-03,72.0,,87.0,90.0,77.0,84.0,19.0,0.0,56.0,25.0,43.0
2017-10-04,62.0,,93.0,89.0,77.0,82.0,17.0,0.0,68.0,25.0,53.0
2017-10-05,78.0,,86.0,86.0,72.0,82.0,22.0,0.0,66.0,41.0,40.0
2017-10-06,51.0,,80.0,75.0,62.0,69.0,14.0,0.0,57.0,10.0,38.0
2017-10-07,35.0,,55.0,53.0,57.0,47.0,9.0,0.0,34.0,23.0,26.0
2017-10-08,47.0,,61.0,64.0,51.0,64.0,14.0,0.0,54.0,34.0,68.0
2017-10-09,71.0,,84.0,84.0,69.0,83.0,21.0,0.0,58.0,25.0,26.0
2017-10-10,75.0,,92.0,88.0,78.0,88.0,13.0,0.0,75.0,15.0,20.0
2017-10-11,71.0,,89.0,85.0,64.0,83.0,23.0,0.0,71.0,25.0,23.0
2017-10-12,59.0,,89.0,91.0,76.0,84.0,21.0,0.0,57.0,10.0,64.0
2017-10-13,62.0,,82.0,80.0,67.0,66.0,15.0,0.0,49.0,31.0,21.0
2017-10-14,40.0,,59.0,59.0,55.0,47.0,11.0,0.0,46.0,12.0,26.0
2017-10-15,57.0,,57.0,62.0,54.0,56.0,7.0,0.0,57.0,17.0,19.0
2017-10-16,63.0,,86.0,87.0,73.0,76.0,18.0,0.0,67.0,10.0,36.0
2017-10-17,51.0,,84.0,85.0,66.0,87.0,27.0,0.0,51.0,20.0,36.0
2017-10-18,76.0,,81.0,79.0,73.0,80.0,19.0,0.0,57.0,30.0,39.0
2017-10-19,60.0,,81.0,79.0,76.0,76.0,19.0,0.0,67.0,15.0,37.0
