date,Apple,,apple,aapl,apple store,apple watch,apple iphone,iphone,apple music,aapl stock price,aapl stock,apple pay,apple macbook,apple support,apple watch series 3,apple 4 watch,airpods,semiconductor,TSMC,apple factory,apple earnings,aapl earnings
5/24/2017,20,,20,16,33,14,9,22,14,18,22,17,30,42,0,0,2,52,13,19,2,0
5/25/2017,21,,21,18,34,13,9,24,15,10,31,16,31,55,0,0,2,64,0,19,1,0
5/26/2017,21,,21,12,36,14,9,24,19,10,20,17,31,53,0,0,1,48,12,7,3,3
5/27/2017,21,,21,4,36,16,9,26,19,3,5,19,29,36,1,0,2,36,11,22,0,0
5/28/2017,22,,22,4,38,17,10,26,20,0,2,13,36,59,1,0,1,40,11,40,2,3
5/29/2017,21,,21,4,39,14,10,24,16,3,4,14,32,49,0,0,2,55,10,16,0,0
5/30/2017,21,,21,14,33,14,9,23,16,20,23,13,38,52,0,0,1,52,11,12,3,0
5/31/2017,21,,21,13,34,13,10,23,16,19,19,16,33,55,1,0,2,55,10,16,1,1
6/1/2017,21,,21,13,35,14,9,23,16,16,24,16,34,51,1,0,2,51,12,9,2,2
6/2/2017,20,,20,15,36,15,9,23,15,34,25,15,32,53,1,0,1,52,19,19,0,1
6/3/2017,21,,21,4,36,16,10,25,16,4,4,16,29,52,1,0,1,19,15,12,1,1
6/4/2017,22,,22,2,37,16,10,26,19,6,3,15,34,41,1,0,1,26,10,25,0,0
6/5/2017,33,,33,23,48,18,11,24,19,14,25,22,58,48,0,1,2,57,20,17,0,2
6/6/2017,31,,31,18,45,17,11,24,21,34,31,21,64,57,1,1,2,66,27,28,0,4
6/7/2017,25,,25,15,39,15,10,24,18,26,19,19,47,61,0,1,2,60,24,16,1,0
6/8/2017,22,,22,15,35,14,10,23,16,32,22,14,42,51,1,0,2,50,12,22,0,2
6/9/2017,22,,22,19,37,15,10,23,18,33,31,18,41,54,1,0,2,47,6,26,0,0
6/10/2017,23,,23,7,45,17,10,26,20,19,7,17,41,60,0,0,2,29,3,18,1,0
6/11/2017,23,,23,3,42,18,10,26,19,9,6,14,42,47,1,1,2,20,11,25,0,0
6/12/2017,23,,23,25,40,17,10,23,17,25,34,15,39,56,1,1,2,55,17,14,0,2
6/13/2017,22,,22,22,39,16,10,23,16,33,32,15,39,55,1,0,2,54,16,10,0,5
6/14/2017,23,,23,17,34,16,9,24,16,28,29,15,39,54,1,0,2,75,17,23,1,0
6/15/2017,21,,21,18,40,16,9,23,17,21,23,16,30,43,0,0,2,49,17,10,0,1
6/16/2017,23,,23,15,43,16,10,24,20,17,20,14,37,57,1,0,2,37,17,15,0,1
6/17/2017,23,,23,5,42,19,11,26,22,18,8,14,35,52,1,1,2,31,6,18,1,3
6/18/2017,23,,23,5,41,20,10,27,20,2,7,15,31,62,0,1,2,24,9,25,1,0
6/19/2017,23,,23,16,38,17,10,24,15,22,29,14,38,60,1,0,2,49,17,22,0,0
6/20/2017,22,,22,17,35,15,10,24,17,21,27,14,35,58,0,0,2,44,23,20,0,2
6/21/2017,21,,21,15,38,15,10,24,16,25,20,16,32,45,1,1,2,52,22,13,0,0
6/22/2017,22,,22,14,36,15,10,23,16,21,18,13,33,61,1,1,1,44,15,21,2,0
6/23/2017,21,,21,13,38,15,9,24,19,15,24,15,34,55,1,0,2,52,16,16,0,3
6/24/2017,23,,23,4,38,17,11,27,20,4,6,15,38,58,1,1,2,21,12,22,0,0
6/25/2017,23,,23,3,40,17,11,27,19,2,4,16,41,53,1,0,2,30,3,21,0,0
6/26/2017,22,,22,16,38,14,10,24,19,21,20,11,36,56,1,0,2,47,21,11,0,1
6/27/2017,22,,22,15,37,15,10,25,17,11,24,16,35,66,2,1,2,51,13,11,1,3
6/28/2017,22,,22,13,39,14,10,25,14,25,21,13,32,63,0,0,2,51,15,20,0,0
6/29/2017,22,,22,15,40,13,11,25,16,17,23,14,32,51,1,0,2,54,20,16,0,1
6/30/2017,21,,21,13,40,13,11,25,22,26,17,15,38,62,1,0,2,46,14,18,0,0
7/1/2017,23,,23,3,42,16,11,27,21,5,4,11,40,56,1,0,2,18,15,29,0,2
7/2/2017,23,,23,3,38,16,11,27,18,2,4,13,33,50,1,0,2,29,10,29,1,0
7/3/2017,22,,22,13,39,15,11,25,18,29,20,13,43,56,1,1,2,44,9,9,0,0
7/4/2017,22,,22,10,36,14,11,24,17,12,11,16,39,49,1,0,2,43,5,37,0,1
7/5/2017,21,,21,11,37,13,10,25,16,17,19,16,33,58,1,0,2,58,16,21,0,0
7/6/2017,22,,22,13,37,14,10,25,17,13,18,17,38,72,1,1,2,47,20,27,0,0
7/7/2017,22,,22,12,40,14,10,25,20,13,18,13,32,74,0,0,2,54,9,17,2,0
7/8/2017,23,,23,2,42,17,10,27,19,4,4,17,37,54,1,0,2,23,14,24,1,1
7/9/2017,22,,22,2,39,17,11,26,18,2,2,13,38,45,0,0,1,25,7,23,1,2
7/10/2017,22,,22,13,40,14,10,24,17,17,24,16,36,65,1,0,2,49,12,19,1,0
7/11/2017,23,,23,12,39,16,10,25,18,24,16,14,39,62,0,0,2,54,11,30,1,1
7/12/2017,22,,22,10,39,14,11,25,17,30,15,16,40,61,1,1,2,49,17,21,1,0
7/13/2017,21,,21,13,42,14,10,25,19,25,23,16,37,62,1,0,2,60,17,10,3,2
7/14/2017,22,,22,12,40,14,10,23,18,28,25,16,34,58,0,0,2,47,18,20,0,6
7/15/2017,23,,23,3,43,16,11,27,21,2,2,18,39,50,1,1,2,23,9,11,0,0
7/16/2017,23,,23,2,39,16,11,27,23,4,0,19,36,55,1,0,1,41,18,19,1,0
7/17/2017,23,,23,14,38,14,9,24,17,26,19,16,41,54,1,0,2,52,12,15,2,4
7/18/2017,22,,22,13,40,15,10,24,17,22,21,19,41,55,1,0,2,58,14,20,0,5
7/19/2017,22,,22,15,39,14,10,24,20,38,25,20,36,56,1,0,2,67,4,7,4,8
7/20/2017,21,,21,12,37,15,10,24,17,13,19,17,37,62,1,0,2,44,15,12,3,11
7/21/2017,21,,21,11,38,15,10,24,19,27,18,16,39,56,1,0,2,54,7,7,1,4
7/22/2017,22,,22,4,43,16,10,27,21,5,6,15,41,55,1,1,1,38,20,9,2,5
7/23/2017,23,,23,2,41,16,10,26,20,2,2,19,41,45,1,0,2,17,11,31,1,1
7/24/2017,23,,23,13,40,14,11,25,18,28,17,16,41,61,1,1,2,43,18,25,4,7
7/25/2017,23,,23,15,40,16,11,26,15,36,25,17,39,59,0,1,2,45,21,21,6,12
7/26/2017,23,,23,17,42,15,10,25,18,24,28,14,42,63,1,1,1,46,22,30,4,8
7/27/2017,23,,23,17,38,15,10,25,19,20,26,16,34,69,1,0,2,57,11,27,7,10
7/28/2017,23,,23,15,40,15,10,26,23,19,24,18,41,56,1,0,2,50,16,17,6,18
7/29/2017,24,,24,5,45,16,11,27,26,9,7,17,42,53,1,0,2,21,10,33,1,2
7/30/2017,24,,24,2,42,16,11,28,21,5,3,16,43,43,2,0,2,28,12,22,4,3
7/31/2017,23,,23,17,42,14,11,25,20,21,27,15,42,58,1,0,2,63,19,22,10,16
8/1/2017,24,,24,46,39,14,10,25,20,74,56,13,47,55,1,0,2,59,17,24,67,56
8/2/2017,24,,24,58,39,16,11,25,18,87,80,16,38,66,1,0,2,66,11,25,16,10
8/3/2017,23,,23,27,34,15,11,25,19,44,38,17,41,54,1,0,2,58,24,25,5,4
