Date, Open, High, Low, Close
10/11/18, 862.00, 847.38, 847.38, 847.38
10/10/18, 893.60, 862.00, 862.00, 862.00
10/09/18, 897.37, 895.51, 895.51, 895.51
10/08/18, 897.17, 897.55, 897.55, 897.55
10/05/18, 904.26, 897.19, 897.19, 897.19
10/04/18, 918.97, 904.26, 904.26, 904.26
10/03/18, 922.98, 918.97, 918.97, 918.97
10/02/18, 936.38, 922.97, 922.97, 922.97
10/01/18, 938.29, 936.39, 936.39, 936.39
09/28/18, 939.41, 938.23, 938.23, 938.23
09/27/18, 934.34, 939.41, 939.41, 939.41
09/26/18, 932.51, 934.36, 934.36, 934.36
09/25/18, 927.07, 932.54, 932.54, 932.54
09/24/18, 932.06, 927.08, 927.08, 927.08
09/21/18, 935.01, 932.39, 932.39, 932.39
09/20/18, 928.80, 935.01, 935.01, 935.01
09/19/18, 928.57, 928.87, 928.87, 928.87
09/18/18, 916.89, 928.58, 928.58, 928.58
09/17/18, 928.67, 916.92, 916.92, 916.92
09/14/18, 931.37, 928.73, 928.73, 928.72
09/13/18, 930.69, 931.39, 931.39, 931.39
09/12/18, 928.68, 930.72, 930.72, 930.72
09/11/18, 920.98, 928.69, 928.69, 928.69
09/10/18, 917.93, 921.12, 921.12, 921.12
09/07/18, 918.04, 917.89, 917.89, 917.89
09/06/18, 921.06, 918.19, 918.19, 918.19
09/05/18, 931.48, 921.26, 921.26, 921.26
09/04/18, 929.22, 931.51, 931.51, 931.51
08/31/18, 930.16, 929.23, 929.23, 929.23
08/30/18, 931.32, 925.79, 925.79, 925.79
08/29/18, 920.77, 931.43, 931.43, 931.43
08/28/18, 919.47, 921.11, 921.11, 921.11
08/27/18, 913.07, 919.46, 919.46, 919.46
08/24/18, 907.32, 913.06, 913.06, 913.06
08/23/18, 909.30, 907.67, 907.67, 907.67
08/22/18, 908.20, 909.36, 909.36, 909.36
08/21/18, 900.30, 908.30, 908.30, 908.30
08/20/18, 894.83, 900.29, 900.29, 900.29
08/17/18, 893.75, 894.78, 894.78, 894.78
08/16/18, 889.73, 893.72, 893.72, 893.72
