date,healthcare,overlap,share price,private limited company,limited company,health,share,hospitals,company,Hospital,pharmaceutical company
2017-09-17,25.0,,12.0,4.0,35.0,38.0,18.0,41.0,54.0,60.0,13.0
2017-09-18,35.0,,75.0,58.0,66.0,52.0,77.0,52.0,71.0,75.0,12.0
2017-09-19,52.0,,75.0,40.0,52.0,49.0,75.0,77.0,74.0,68.0,37.0
2017-09-20,54.0,,76.0,28.0,42.0,47.0,75.0,62.0,63.0,65.0,37.0
2017-09-21,44.0,,70.0,39.0,65.0,45.0,69.0,49.0,65.0,60.0,24.0
2017-09-22,42.0,,72.0,20.0,43.0,39.0,73.0,51.0,60.0,64.0,0.0
2017-09-23,41.0,,19.0,42.0,29.0,38.0,23.0,63.0,55.0,60.0,26.0
2017-09-24,25.0,,12.0,18.0,33.0,34.0,18.0,67.0,50.0,53.0,55.0
2017-09-25,50.0,,73.0,16.0,62.0,46.0,75.0,73.0,55.0,66.0,25.0
2017-09-26,38.0,,69.0,28.0,50.0,52.0,68.0,65.0,62.0,67.0,12.0
2017-09-27,33.0,,73.0,41.0,73.0,43.0,75.0,69.0,62.0,64.0,38.0
2017-09-28,39.0,,67.0,25.0,32.0,41.0,69.0,60.0,57.0,67.0,0.0
2017-09-29,31.0,,66.0,27.0,26.0,37.0,67.0,55.0,49.0,68.0,56.0
2017-09-30,17.0,,18.0,19.0,39.0,34.0,24.0,60.0,47.0,56.0,15.0
2017-10-01,20.0,,12.0,23.0,23.0,31.0,17.0,50.0,43.0,58.0,0.0
2017-10-02,20.0,,19.0,22.0,38.0,38.0,23.0,39.0,46.0,65.0,0.0
2017-10-03,46.0,,71.0,25.0,76.0,45.0,77.0,55.0,63.0,69.0,0.0
2017-10-04,37.0,,72.0,50.0,45.0,48.0,73.0,73.0,65.0,70.0,0.0
2017-10-05,50.0,,71.0,28.0,59.0,41.0,72.0,48.0,64.0,66.0,38.0
2017-10-06,34.0,,71.0,45.0,49.0,41.0,68.0,60.0,59.0,65.0,51.0
2017-10-07,23.0,,18.0,33.0,38.0,38.0,22.0,56.0,51.0,65.0,26.0
2017-10-08,11.0,,14.0,22.0,24.0,39.0,18.0,36.0,51.0,53.0,55.0
2017-10-09,32.0,,77.0,16.0,42.0,53.0,75.0,66.0,68.0,76.0,26.0
2017-10-10,54.0,,73.0,48.0,71.0,58.0,78.0,46.0,71.0,68.0,37.0
2017-10-11,39.0,,73.0,37.0,62.0,46.0,75.0,57.0,66.0,71.0,38.0
2017-10-12,43.0,,76.0,39.0,62.0,47.0,73.0,47.0,61.0,67.0,0.0
2017-10-13,36.0,,74.0,28.0,24.0,47.0,76.0,58.0,59.0,64.0,51.0
2017-10-14,35.0,,19.0,17.0,41.0,37.0,25.0,36.0,55.0,63.0,0.0
2017-10-15,18.0,,13.0,9.0,15.0,33.0,20.0,43.0,47.0,55.0,29.0
2017-10-16,41.0,,76.0,29.0,59.0,42.0,76.0,51.0,59.0,67.0,13.0
2017-10-17,30.0,,76.0,29.0,39.0,38.0,72.0,64.0,53.0,58.0,0.0
2017-10-18,24.0,,71.0,9.0,38.0,33.0,75.0,54.0,43.0,52.0,0.0
2017-10-19,17.0,,44.0,19.0,32.0,28.0,44.0,44.0,38.0,55.0,45.0
2017-10-20,26.0,,29.0,13.0,24.0,40.0,35.0,37.0,47.0,65.0,0.0
