date,technology,overlap,computer and information,information,science,design and technology,limited company,engineering,innovation,SEAT,investment fund
2017-07-08,58.0,1.0,9.0,57.0,53.0,14.0,27.0,70.0,35.0,30.0,23.0
2017-07-09,60.0,1.0,11.0,63.0,53.0,40.0,24.0,68.0,44.0,30.0,41.0
2017-07-10,81.0,1.0,13.0,80.0,61.0,30.0,54.0,86.0,70.0,28.0,64.0
2017-07-11,83.0,1.0,13.0,84.0,64.0,38.0,55.0,91.0,63.0,29.0,56.0
2017-07-12,88.0,1.0,21.0,81.0,65.0,69.0,66.0,96.0,72.0,27.0,73.0
2017-07-13,86.0,1.0,8.0,78.0,62.0,40.0,60.0,93.0,73.0,27.0,55.0
2017-07-14,74.0,1.0,19.0,71.0,58.0,12.0,45.0,82.0,60.0,27.0,69.0
2017-07-15,55.0,1.0,6.0,58.0,53.0,27.0,45.0,70.0,28.0,29.0,33.0
2017-07-16,58.0,1.0,24.0,62.0,54.0,50.0,32.0,70.0,40.0,30.0,39.0
2017-07-17,83.0,1.0,12.0,78.0,60.0,43.0,65.0,90.0,66.0,29.0,47.0
2017-07-18,85.0,1.0,18.0,78.0,61.0,31.0,49.0,92.0,67.0,26.0,56.0
2017-07-19,88.0,1.0,25.0,80.0,61.0,20.0,56.0,94.0,72.0,28.0,80.0
2017-07-20,84.0,1.0,22.0,77.0,62.0,23.0,53.0,90.0,61.0,27.0,51.0
2017-07-21,72.0,1.0,18.0,69.0,57.0,11.0,67.0,81.0,58.0,27.0,46.0
2017-07-22,60.0,1.0,24.0,54.0,55.0,18.0,26.0,66.0,34.0,29.0,17.0
2017-07-23,59.0,1.0,19.0,60.0,53.0,4.0,30.0,62.0,33.0,30.0,23.0
2017-07-24,82.0,1.0,17.0,80.0,61.0,27.0,47.0,91.0,60.0,29.0,55.0
2017-07-25,88.0,1.0,13.0,80.0,62.0,42.0,67.0,96.0,71.0,27.0,60.0
2017-07-26,85.0,1.0,10.0,81.0,63.0,31.0,55.0,97.0,66.0,27.0,69.0
2017-07-27,88.0,1.0,19.0,80.0,64.0,45.0,53.0,88.0,65.0,27.0,52.0
2017-07-28,75.0,1.0,23.0,75.0,58.0,32.0,48.0,84.0,58.0,27.0,43.0
2017-07-29,58.0,1.0,24.0,57.0,51.0,26.0,35.0,73.0,31.0,29.0,38.0
2017-07-30,58.0,1.0,14.0,60.0,52.0,52.0,25.0,66.0,33.0,30.0,25.0
2017-07-31,78.0,1.0,7.0,76.0,58.0,15.0,58.0,89.0,60.0,27.0,54.0
2017-08-01,87.0,1.0,4.0,78.0,59.0,69.0,59.0,85.0,62.0,27.0,79.0
2017-08-02,85.0,1.0,29.0,78.0,61.0,21.0,60.0,86.0,69.0,27.0,69.0
2017-08-03,87.0,1.0,26.0,74.0,62.0,26.0,66.0,87.0,69.0,27.0,55.0
2017-08-04,72.0,1.0,22.0,70.0,57.0,15.0,57.0,75.0,63.0,27.0,69.0
2017-08-05,52.0,1.0,6.0,53.0,50.0,22.0,33.0,62.0,28.0,29.0,28.0
2017-08-06,53.0,1.0,15.0,57.0,55.0,12.0,27.0,59.0,38.0,29.0,47.0
2017-08-07,78.0,1.0,14.0,76.0,60.0,42.0,55.0,79.0,60.0,26.0,61.0
2017-08-08,80.0,1.0,21.0,80.0,63.0,25.0,60.0,82.0,56.0,26.0,74.0
2017-08-09,83.0,1.0,16.0,78.0,62.0,23.0,64.0,86.0,68.0,27.0,65.0
2017-08-10,80.0,1.0,14.0,77.0,64.0,38.0,58.0,81.0,59.0,26.0,56.0
2017-08-11,72.0,1.0,21.0,72.0,59.0,39.0,57.0,72.0,64.0,27.0,62.0
2017-08-12,54.0,1.0,12.0,54.0,53.0,22.0,32.0,62.0,33.0,28.0,33.0
2017-08-13,52.0,1.0,20.0,55.0,52.0,34.0,29.0,57.0,37.0,29.0,25.0
2017-08-14,72.0,1.0,23.0,76.0,58.0,28.0,49.0,76.0,61.0,26.0,73.0
2017-08-15,79.0,1.0,24.0,76.0,61.0,31.0,50.0,76.0,63.0,26.0,58.0
2017-08-16,82.0,1.0,14.0,76.0,67.0,25.0,68.0,80.0,71.0,27.0,75.0
2017-08-17,84.0,1.0,29.0,81.0,75.0,34.0,51.0,84.0,59.0,25.0,57.0
2017-08-18,76.0,1.0,20.0,76.0,68.0,39.0,52.0,76.0,61.0,27.0,74.0
2017-08-19,53.0,1.0,11.0,56.0,58.0,30.0,33.0,60.0,34.0,30.0,38.0
2017-08-20,51.0,1.0,21.0,64.0,59.0,34.0,26.0,56.0,44.0,29.0,50.0
2017-08-21,75.0,1.0,14.0,74.0,88.0,33.0,52.0,78.0,64.0,25.0,71.0
2017-08-22,86.0,1.0,19.0,80.0,75.0,63.0,54.0,86.0,75.0,25.0,60.0
2017-08-23,85.0,1.0,10.0,81.0,74.0,59.0,63.0,84.0,71.0,26.0,54.0
2017-08-24,82.0,1.0,15.0,80.0,69.0,40.0,50.0,80.0,67.0,26.0,42.0
2017-08-25,72.0,1.0,7.0,72.0,64.0,49.0,47.0,74.0,56.0,26.0,77.0
2017-08-26,49.0,1.0,14.0,54.0,50.0,43.0,34.0,58.0,35.0,27.0,37.0
2017-08-27,48.0,1.0,14.0,60.0,56.0,9.0,22.0,55.0,33.0,28.0,51.0
2017-08-28,86.0,1.0,40.0,82.0,69.0,41.0,50.0,80.0,64.0,27.0,49.0
2017-08-29,88.0,1.0,22.0,87.0,74.0,32.0,58.0,85.0,67.0,26.0,67.0
2017-08-30,85.0,1.0,17.0,84.0,72.0,37.0,62.0,81.0,69.0,26.0,59.0
2017-08-31,85.0,1.0,31.0,83.0,70.0,53.0,52.0,80.0,61.0,25.0,90.0
2017-09-01,63.0,1.0,3.0,68.0,64.0,8.0,49.0,70.0,56.0,26.0,67.0
2017-09-02,50.0,1.0,9.0,58.0,53.0,26.0,30.0,54.0,35.0,29.0,32.0
2017-09-03,57.0,1.0,20.0,65.0,55.0,26.0,29.0,58.0,36.0,28.0,54.0
