date,healthcare,overlap,health coverage,health,nhs,spire healthcare,continuing healthcare,BMI healthcare,nursing home,AXA PPP,AXA health
2017-07-13,44.0,1.0,31.0,79.0,45.0,7.0,36.0,13.0,41.0,8.0,11.0
2017-07-14,38.0,1.0,40.0,72.0,43.0,9.0,25.0,13.0,38.0,29.0,16.0
2017-07-15,23.0,1.0,26.0,49.0,33.0,0.0,0.0,0.0,26.0,15.0,31.0
2017-07-16,23.0,1.0,35.0,50.0,36.0,0.0,7.0,23.0,22.0,5.0,13.0
2017-07-17,44.0,1.0,32.0,77.0,48.0,15.0,0.0,14.0,46.0,11.0,58.0
2017-07-18,50.0,1.0,35.0,83.0,51.0,46.0,23.0,12.0,42.0,33.0,0.0
2017-07-19,51.0,1.0,41.0,84.0,50.0,7.0,24.0,0.0,48.0,29.0,68.0
2017-07-20,43.0,1.0,51.0,79.0,48.0,9.0,12.0,20.0,42.0,12.0,8.0
2017-07-21,38.0,1.0,25.0,69.0,43.0,32.0,6.0,28.0,37.0,17.0,8.0
2017-07-22,18.0,1.0,27.0,46.0,30.0,0.0,0.0,31.0,30.0,24.0,0.0
2017-07-23,21.0,1.0,17.0,47.0,34.0,0.0,26.0,0.0,25.0,14.0,13.0
2017-07-24,43.0,1.0,50.0,82.0,54.0,0.0,52.0,0.0,45.0,29.0,11.0
2017-07-25,64.0,1.0,52.0,88.0,53.0,30.0,12.0,38.0,41.0,20.0,40.0
2017-07-26,61.0,1.0,47.0,86.0,52.0,9.0,18.0,0.0,46.0,23.0,33.0
2017-07-27,49.0,1.0,39.0,80.0,47.0,9.0,17.0,7.0,42.0,8.0,11.0
2017-07-28,60.0,1.0,52.0,75.0,46.0,0.0,6.0,0.0,40.0,37.0,23.0
2017-07-29,26.0,1.0,19.0,49.0,32.0,0.0,7.0,51.0,28.0,20.0,22.0
2017-07-30,24.0,1.0,16.0,48.0,34.0,0.0,13.0,14.0,25.0,9.0,9.0
2017-07-31,45.0,1.0,33.0,81.0,50.0,15.0,28.0,31.0,49.0,3.0,37.0
2017-08-01,44.0,1.0,40.0,79.0,53.0,21.0,6.0,21.0,41.0,53.0,18.0
2017-08-02,45.0,1.0,49.0,82.0,50.0,0.0,33.0,0.0,42.0,15.0,32.0
2017-08-03,42.0,1.0,31.0,80.0,49.0,0.0,6.0,7.0,44.0,12.0,47.0
2017-08-04,36.0,1.0,34.0,70.0,43.0,6.0,0.0,29.0,38.0,28.0,19.0
2017-08-05,18.0,1.0,16.0,45.0,31.0,10.0,0.0,0.0,28.0,19.0,34.0
2017-08-06,18.0,1.0,18.0,44.0,30.0,0.0,7.0,0.0,24.0,9.0,21.0
2017-08-07,42.0,1.0,47.0,77.0,49.0,12.0,16.0,35.0,48.0,23.0,21.0
2017-08-08,43.0,1.0,42.0,81.0,50.0,22.0,17.0,36.0,44.0,24.0,24.0
2017-08-09,42.0,1.0,26.0,78.0,51.0,8.0,28.0,42.0,42.0,20.0,57.0
2017-08-10,42.0,1.0,42.0,76.0,44.0,15.0,17.0,0.0,46.0,29.0,11.0
2017-08-11,35.0,1.0,26.0,67.0,39.0,47.0,0.0,0.0,45.0,8.0,8.0
2017-08-12,20.0,1.0,16.0,44.0,30.0,10.0,13.0,14.0,28.0,0.0,9.0
2017-08-13,17.0,1.0,13.0,44.0,30.0,0.0,6.0,0.0,25.0,10.0,9.0
2017-08-14,39.0,1.0,23.0,81.0,51.0,39.0,17.0,67.0,46.0,20.0,15.0
2017-08-15,41.0,1.0,31.0,75.0,49.0,24.0,6.0,0.0,44.0,45.0,11.0
2017-08-16,41.0,1.0,48.0,76.0,51.0,8.0,0.0,33.0,43.0,37.0,37.0
2017-08-17,41.0,1.0,42.0,77.0,47.0,0.0,28.0,12.0,41.0,3.0,18.0
2017-08-18,33.0,1.0,22.0,66.0,44.0,0.0,6.0,0.0,43.0,29.0,8.0
2017-08-19,20.0,1.0,18.0,45.0,31.0,7.0,6.0,0.0,28.0,0.0,12.0
2017-08-20,18.0,1.0,8.0,43.0,32.0,14.0,32.0,0.0,27.0,0.0,9.0
2017-08-21,36.0,1.0,35.0,74.0,48.0,0.0,6.0,30.0,41.0,19.0,35.0
2017-08-22,42.0,1.0,43.0,79.0,48.0,8.0,17.0,7.0,46.0,27.0,26.0
2017-08-23,41.0,1.0,52.0,78.0,52.0,36.0,5.0,0.0,46.0,27.0,26.0
2017-08-24,39.0,1.0,40.0,75.0,45.0,8.0,17.0,12.0,40.0,12.0,22.0
2017-08-25,36.0,1.0,31.0,66.0,43.0,0.0,24.0,33.0,40.0,17.0,0.0
2017-08-26,18.0,1.0,16.0,43.0,31.0,17.0,7.0,0.0,28.0,0.0,30.0
2017-08-27,18.0,1.0,13.0,43.0,27.0,0.0,0.0,0.0,54.0,0.0,21.0
2017-08-28,37.0,1.0,45.0,77.0,34.0,15.0,0.0,7.0,100.0,12.0,58.0
2017-08-29,40.0,1.0,32.0,82.0,52.0,50.0,5.0,0.0,68.0,8.0,18.0
2017-08-30,43.0,1.0,50.0,80.0,49.0,15.0,17.0,0.0,53.0,37.0,7.0
2017-08-31,38.0,1.0,43.0,76.0,49.0,13.0,0.0,50.0,51.0,8.0,7.0
2017-09-01,34.0,1.0,28.0,66.0,45.0,13.0,18.0,12.0,43.0,25.0,50.0
2017-09-02,19.0,1.0,15.0,44.0,31.0,7.0,6.0,0.0,26.0,0.0,21.0
2017-09-03,19.0,1.0,15.0,44.0,33.0,0.0,7.0,0.0,27.0,0.0,0.0
2017-09-04,25.0,1.0,20.0,56.0,55.0,46.0,6.0,51.0,31.0,21.0,37.0
2017-09-05,42.0,1.0,45.0,82.0,53.0,16.0,0.0,25.0,40.0,36.0,63.0
2017-09-06,44.0,1.0,37.0,81.0,49.0,6.0,6.0,7.0,44.0,11.0,49.0
2017-09-07,42.0,1.0,38.0,79.0,51.0,0.0,22.0,0.0,43.0,9.0,7.0
2017-09-08,34.0,,32.0,69.0,46.0,13.0,0.0,0.0,36.0,18.0,15.0
2017-09-09,19.0,,16.0,45.0,30.0,0.0,26.0,0.0,24.0,0.0,17.0
2017-09-10,21.0,,27.0,45.0,33.0,0.0,13.0,15.0,20.0,0.0,0.0
2017-09-11,40.0,,27.0,81.0,57.0,0.0,0.0,0.0,40.0,26.0,30.0
2017-09-12,43.0,,34.0,80.0,52.0,12.0,11.0,14.0,41.0,8.0,43.0
2017-09-13,43.0,,44.0,81.0,53.0,100.0,0.0,14.0,66.0,42.0,58.0
2017-09-14,49.0,,37.0,79.0,46.0,76.0,12.0,0.0,74.0,34.0,59.0
2017-09-15,38.0,,57.0,72.0,50.0,13.0,0.0,15.0,46.0,9.0,0.0
2017-09-16,22.0,,28.0,47.0,35.0,29.0,27.0,32.0,35.0,0.0,34.0
2017-09-17,22.0,,53.0,47.0,36.0,0.0,13.0,0.0,28.0,0.0,0.0
2017-09-18,42.0,,40.0,83.0,52.0,25.0,11.0,67.0,45.0,42.0,28.0
2017-09-19,47.0,,47.0,84.0,51.0,0.0,23.0,27.0,42.0,26.0,15.0
2017-09-20,46.0,,37.0,81.0,52.0,13.0,11.0,27.0,46.0,17.0,30.0
2017-09-21,45.0,,58.0,80.0,48.0,0.0,12.0,0.0,39.0,17.0,0.0
2017-09-22,44.0,,53.0,73.0,47.0,26.0,0.0,14.0,43.0,36.0,15.0
2017-09-23,28.0,,40.0,46.0,35.0,15.0,13.0,0.0,29.0,10.0,0.0
2017-09-24,24.0,,35.0,48.0,34.0,14.0,0.0,15.0,27.0,0.0,17.0
2017-09-25,49.0,,68.0,83.0,52.0,13.0,34.0,0.0,46.0,17.0,30.0
2017-09-26,52.0,,57.0,87.0,58.0,37.0,22.0,0.0,47.0,25.0,72.0
2017-09-27,45.0,,53.0,81.0,53.0,37.0,0.0,13.0,44.0,8.0,0.0
2017-09-28,41.0,,48.0,81.0,52.0,0.0,0.0,14.0,42.0,26.0,59.0
