date,UNH,overlap,JNJ,PFE,TMO,ABT,ABBV,LLY,DHR,MRK,MDT
2017-07-10,35.0,1.0,21.0,25.0,47.0,69.0,6.0,23.0,42.0,9.0,51.0
2017-07-11,21.0,1.0,23.0,14.0,35.0,54.0,8.0,26.0,48.0,9.0,65.0
2017-07-12,29.0,1.0,17.0,13.0,65.0,65.0,8.0,28.0,62.0,9.0,53.0
2017-07-13,21.0,1.0,19.0,22.0,67.0,60.0,6.0,39.0,35.0,8.0,36.0
2017-07-14,26.0,1.0,15.0,28.0,51.0,49.0,7.0,56.0,51.0,19.0,59.0
2017-07-15,21.0,1.0,4.0,5.0,22.0,67.0,2.0,31.0,43.0,6.0,13.0
2017-07-16,13.0,1.0,6.0,10.0,23.0,45.0,2.0,30.0,38.0,6.0,21.0
2017-07-17,26.0,1.0,12.0,29.0,46.0,68.0,3.0,33.0,44.0,11.0,48.0
2017-07-18,36.0,1.0,25.0,23.0,43.0,68.0,4.0,13.0,44.0,8.0,55.0
2017-07-19,26.0,1.0,13.0,22.0,33.0,57.0,10.0,26.0,35.0,10.0,53.0
2017-07-20,29.0,1.0,16.0,18.0,51.0,74.0,13.0,7.0,26.0,16.0,62.0
2017-07-21,24.0,1.0,21.0,17.0,44.0,62.0,7.0,17.0,48.0,5.0,42.0
2017-07-22,16.0,1.0,4.0,19.0,37.0,61.0,0.0,23.0,34.0,9.0,28.0
2017-07-23,20.0,1.0,9.0,9.0,27.0,67.0,3.0,37.0,33.0,12.0,22.0
2017-07-24,34.0,1.0,18.0,25.0,51.0,49.0,3.0,37.0,58.0,12.0,64.0
2017-07-25,23.0,1.0,33.0,25.0,35.0,51.0,7.0,13.0,55.0,13.0,50.0
2017-07-26,28.0,1.0,23.0,29.0,48.0,58.0,9.0,29.0,38.0,8.0,53.0
2017-07-27,23.0,1.0,17.0,16.0,47.0,61.0,10.0,25.0,42.0,14.0,53.0
2017-07-28,36.0,1.0,18.0,28.0,47.0,63.0,12.0,20.0,45.0,15.0,52.0
2017-07-29,18.0,1.0,5.0,10.0,24.0,63.0,8.0,23.0,33.0,7.0,21.0
2017-07-30,18.0,1.0,4.0,7.0,27.0,66.0,0.0,41.0,9.0,16.0,36.0
2017-07-31,32.0,1.0,13.0,22.0,37.0,55.0,12.0,25.0,44.0,14.0,42.0
2017-08-01,27.0,1.0,23.0,38.0,42.0,40.0,15.0,18.0,48.0,14.0,73.0
2017-08-02,27.0,1.0,22.0,29.0,37.0,61.0,3.0,45.0,39.0,15.0,42.0
2017-08-03,26.0,1.0,21.0,19.0,21.0,57.0,7.0,45.0,56.0,12.0,67.0
2017-08-04,25.0,1.0,12.0,17.0,38.0,74.0,7.0,14.0,46.0,11.0,37.0
2017-08-05,27.0,1.0,3.0,7.0,24.0,74.0,0.0,33.0,28.0,10.0,27.0
2017-08-06,27.0,1.0,6.0,11.0,21.0,68.0,2.0,19.0,18.0,10.0,22.0
2017-08-07,25.0,1.0,19.0,13.0,36.0,76.0,7.0,22.0,43.0,33.0,57.0
2017-08-08,24.0,1.0,23.0,20.0,22.0,62.0,5.0,33.0,49.0,12.0,45.0
2017-08-09,24.0,1.0,19.0,18.0,21.0,78.0,8.0,31.0,51.0,10.0,39.0
2017-08-10,24.0,1.0,15.0,21.0,28.0,50.0,7.0,29.0,60.0,8.0,48.0
2017-08-11,30.0,1.0,11.0,19.0,27.0,54.0,4.0,29.0,49.0,8.0,50.0
2017-08-12,22.0,1.0,4.0,8.0,11.0,68.0,1.0,21.0,29.0,7.0,23.0
2017-08-13,15.0,1.0,4.0,5.0,15.0,56.0,3.0,25.0,17.0,3.0,22.0
2017-08-14,30.0,1.0,12.0,14.0,27.0,67.0,4.0,23.0,48.0,19.0,61.0
2017-08-15,32.0,1.0,15.0,26.0,29.0,53.0,4.0,17.0,48.0,13.0,49.0
2017-08-16,27.0,1.0,16.0,25.0,22.0,68.0,11.0,19.0,48.0,11.0,58.0
2017-08-17,31.0,1.0,14.0,23.0,42.0,52.0,7.0,44.0,50.0,19.0,57.0
2017-08-18,42.0,1.0,19.0,24.0,31.0,55.0,2.0,26.0,44.0,10.0,50.0
2017-08-19,19.0,1.0,3.0,5.0,9.0,57.0,0.0,18.0,16.0,14.0,30.0
2017-08-20,23.0,1.0,7.0,13.0,14.0,60.0,0.0,22.0,11.0,11.0,50.0
2017-08-21,35.0,1.0,11.0,17.0,25.0,61.0,7.0,25.0,51.0,23.0,68.0
2017-08-22,45.0,1.0,29.0,10.0,34.0,63.0,13.0,22.0,54.0,13.0,49.0
2017-08-23,49.0,1.0,24.0,14.0,34.0,54.0,8.0,18.0,35.0,9.0,40.0
2017-08-24,39.0,1.0,19.0,14.0,37.0,67.0,7.0,19.0,46.0,7.0,41.0
2017-08-25,51.0,1.0,18.0,17.0,35.0,55.0,2.0,19.0,64.0,17.0,25.0
2017-08-26,46.0,1.0,8.0,11.0,19.0,52.0,3.0,15.0,27.0,8.0,30.0
2017-08-27,49.0,1.0,8.0,0.0,22.0,56.0,0.0,6.0,13.0,10.0,25.0
2017-08-28,86.0,1.0,7.0,13.0,25.0,67.0,3.0,18.0,53.0,14.0,46.0
2017-08-29,75.0,1.0,14.0,12.0,14.0,68.0,4.0,29.0,35.0,13.0,69.0
2017-08-30,42.0,1.0,12.0,25.0,9.0,58.0,4.0,34.0,41.0,13.0,50.0
2017-08-31,73.0,1.0,18.0,18.0,21.0,68.0,4.0,47.0,43.0,9.0,52.0
2017-09-01,71.0,1.0,13.0,25.0,12.0,58.0,12.0,10.0,39.0,7.0,43.0
2017-09-02,31.0,1.0,9.0,5.0,5.0,71.0,1.0,7.0,34.0,8.0,29.0
2017-09-03,33.0,1.0,5.0,8.0,8.0,57.0,1.0,29.0,25.0,8.0,17.0
2017-09-04,28.0,1.0,6.0,12.0,15.0,62.0,6.0,36.0,38.0,6.0,38.0
2017-09-05,50.0,1.0,18.0,25.0,15.0,53.0,0.0,22.0,67.0,9.0,44.0
2017-09-06,48.0,1.0,12.0,19.0,30.0,53.0,9.0,24.0,66.0,17.0,57.0
2017-09-07,57.0,1.0,18.0,10.0,30.0,75.0,13.0,46.0,43.0,8.0,45.0
2017-09-08,46.0,,13.0,16.0,24.0,74.0,6.0,24.0,65.0,8.0,29.0
2017-09-09,47.0,,4.0,11.0,21.0,52.0,3.0,20.0,20.0,10.0,18.0
2017-09-10,44.0,,5.0,8.0,24.0,54.0,3.0,13.0,32.0,4.0,23.0
2017-09-11,34.0,,13.0,29.0,41.0,49.0,17.0,17.0,45.0,12.0,34.0
2017-09-12,47.0,,14.0,20.0,40.0,50.0,6.0,33.0,57.0,10.0,56.0
2017-09-13,46.0,,13.0,33.0,40.0,75.0,8.0,22.0,72.0,12.0,58.0
2017-09-14,47.0,,13.0,16.0,43.0,57.0,11.0,17.0,37.0,11.0,64.0
2017-09-15,22.0,,20.0,26.0,46.0,56.0,9.0,29.0,34.0,5.0,47.0
2017-09-16,42.0,,2.0,13.0,52.0,50.0,7.0,13.0,23.0,10.0,34.0
2017-09-17,20.0,,1.0,2.0,16.0,64.0,0.0,6.0,9.0,6.0,28.0
